temperature,rain_1h,snow_1h,clouds_percentage,date_time,population_density_categorical,holiday_Christmas Day,holiday_Columbus Day,holiday_Independence Day,holiday_Labor Day,holiday_Martin Luther King Jr Day,holiday_Memorial Day,holiday_New Years Day,holiday_None,holiday_State Fair,holiday_Thanksgiving Day,holiday_Veterans Day,holiday_Washingtons Birthday
295.42,0.0,0.0,90,23,very low,0,0,0,0,0,0,0,1,0,0,0,0
273.86,0.0,0.0,90,5,low,0,0,0,0,0,0,0,1,0,0,0,0
292.15,0.0,0.0,90,4,very low,0,0,0,0,0,0,0,1,0,0,0,0
274.15,0.0,0.0,1,13,high,0,0,0,0,0,0,0,1,0,0,0,0
297.14,0.0,0.0,40,13,high,0,0,0,0,0,0,0,1,0,0,0,0
270.28,0.0,0.0,90,1,very low,0,0,0,0,0,0,0,1,0,0,0,0
290.88,0.0,0.0,90,6,high,0,0,0,0,0,0,0,1,0,0,0,0
295.35,0.0,0.0,1,2,very low,0,0,0,0,0,0,0,1,0,0,0,0
274.08,0.0,0.0,90,8,low,0,0,0,0,0,0,0,1,0,0,0,0
302.98,0.0,0.0,20,17,medium,0,0,0,0,0,0,0,1,0,0,0,0
294.95,0.0,0.0,40,19,medium,0,0,0,0,0,0,0,1,0,0,0,0
275.27,0.0,0.0,90,20,low,0,0,0,0,0,0,0,1,0,0,0,0
273.87,0.0,0.0,90,19,medium,0,0,0,0,0,0,0,1,0,0,0,0
272.16,0.0,0.0,1,22,low,0,0,0,0,0,0,0,1,0,0,0,0
255.57,0.0,0.0,64,16,very high,0,0,0,0,0,0,0,1,0,0,0,0
257.93,0.0,0.0,75,9,high,0,0,0,0,0,0,0,1,0,0,0,0
293.8,0.0,0.0,90,22,low,0,0,0,0,0,0,0,1,0,0,0,0
301.94,0.0,0.0,20,18,medium,0,0,0,0,0,0,0,1,0,0,0,0
296.57,0.0,0.0,92,11,medium,0,0,0,0,0,0,0,1,0,0,0,0
299.15,0.0,0.0,1,15,high,0,0,0,0,0,0,0,1,0,0,0,0
275.72,0.0,0.0,75,1,very low,0,0,0,0,0,0,0,1,0,0,0,0
290.55,0.0,0.0,76,14,medium,0,0,0,0,0,0,0,1,0,0,0,0
285.57,0.0,0.0,75,5,medium,0,0,0,0,0,0,0,1,0,0,0,0
281.12,0.0,0.0,20,14,medium,0,0,0,0,0,0,0,1,0,0,0,0
294.21,0.0,0.0,75,19,medium,0,0,0,0,0,0,0,1,0,0,0,0
259.3,0.0,0.0,90,4,very low,0,0,0,0,0,0,0,1,0,0,0,0
267.43,0.0,0.0,40,15,high,0,0,0,0,0,0,0,1,0,0,0,0
293.43,0.0,0.0,40,7,very low,0,0,0,0,0,0,0,1,0,0,0,0
289.64,4.98,0.0,92,11,high,0,0,0,0,0,0,0,1,0,0,0,0
291.11,0.25,0.0,24,4,very low,0,0,0,0,0,0,0,1,0,0,0,0
264.7,0.25,0.0,90,18,medium,0,0,0,0,0,0,0,1,0,0,0,0
267.75,0.0,0.0,90,8,low,0,0,0,0,0,0,0,1,0,0,0,0
289.08,0.0,0.0,1,5,medium,0,0,0,0,0,0,0,1,0,0,0,0
294.68,0.0,0.0,1,11,high,0,0,0,0,0,0,0,1,0,0,0,0
291.02,0.0,0.0,1,23,low,0,0,0,0,0,0,0,1,0,0,0,0
273.55,0.0,0.0,90,8,medium,0,0,0,0,0,0,0,1,0,0,0,0
288.05,0.0,0.0,90,0,very low,0,0,0,0,0,0,0,1,0,0,0,0
291.48,0.0,0.0,75,20,low,0,0,0,0,0,0,0,1,0,0,0,0
277.65,0.0,0.0,1,4,very low,0,0,0,0,0,0,0,1,0,0,0,0
293.95,0.0,0.0,1,3,very low,0,0,0,0,0,0,0,1,0,0,0,0
287.01,7.05,0.0,88,2,very low,0,0,0,0,0,0,0,1,0,0,0,0
283.29,0.51,0.0,0,8,high,0,0,0,0,0,0,0,1,0,0,0,0
280.42,0.0,0.0,90,0,very low,0,0,0,0,0,0,0,1,0,0,0,0
287.24,3.45,0.0,90,11,high,0,0,0,0,0,0,0,1,0,0,0,0
264.38,0.0,0.0,90,5,very low,0,0,0,0,0,0,0,1,0,0,0,0
295.09,0.0,0.0,75,18,high,0,0,0,0,0,0,0,1,0,0,0,0
280.29,0.0,0.0,1,5,medium,0,0,0,0,0,0,0,1,0,0,0,0
291.57,0.0,0.0,75,4,very low,0,0,0,0,0,0,0,1,0,0,0,0
254.15,0.0,0.0,90,8,high,0,0,0,0,0,0,0,1,0,0,0,0
295.5,0.0,0.0,1,1,very low,0,0,0,0,0,0,0,1,0,0,0,0
273.84,0.0,0.0,90,8,very high,0,0,0,0,0,0,0,1,0,0,0,0
279.02,0.0,0.0,1,15,high,0,0,0,0,0,0,0,1,0,0,0,0
272.65,0.0,0.0,5,8,very high,0,0,0,0,0,0,0,1,0,0,0,0
287.7,0.0,0.0,75,15,very high,0,0,0,0,0,0,0,1,0,0,0,0
268.54,0.0,0.0,1,23,low,0,0,0,0,0,0,0,1,0,0,0,0
272.65,0.0,0.0,64,21,low,0,0,0,0,0,0,0,1,0,0,0,0
298.62,0.0,0.0,40,18,high,0,0,0,0,0,0,0,1,0,0,0,0
299.54,0.0,0.0,1,16,very high,0,0,0,0,0,0,0,1,0,0,0,0
293.22,4.57,0.0,90,15,high,0,0,0,0,0,0,0,1,0,0,0,0
243.39,0.0,0.0,1,8,low,0,0,0,0,0,0,0,1,0,0,0,0
289.96,0.0,0.0,75,22,low,0,0,0,0,0,0,0,1,0,0,0,0
282.53,0.0,0.0,90,23,very low,0,0,0,0,0,0,0,1,0,0,0,0
292.6,0.25,0.0,80,3,very low,0,0,0,0,0,0,0,1,0,0,0,0
276.84,0.0,0.0,90,13,high,0,0,0,0,0,0,0,1,0,0,0,0
289.61,0.0,0.0,1,4,very low,0,0,0,0,0,0,0,1,0,0,0,0
265.23,0.0,0.0,90,8,medium,0,0,0,0,0,0,0,1,0,0,0,0
296.44,0.0,0.0,36,17,very high,0,0,0,0,0,0,0,1,0,0,0,0
270.81,0.0,0.0,90,20,low,0,0,0,0,0,0,0,1,0,0,0,0
266.71,0.0,0.0,20,13,high,0,0,0,0,0,0,0,1,0,0,0,0
289.64,0.0,0.0,100,17,high,0,0,0,0,0,0,0,1,0,0,0,0
259.24,0.0,0.0,1,16,very high,0,0,0,0,0,0,0,1,0,0,0,0
291.59,0.0,0.0,1,2,very low,0,0,0,0,0,0,0,1,0,0,0,0
294.48,0.0,0.0,90,13,high,0,0,0,0,0,0,0,1,0,0,0,0
277.81,0.0,0.0,40,11,high,0,0,0,0,0,0,0,1,0,0,0,0
275.72,0.0,0.0,1,16,very high,0,0,0,0,0,0,0,1,0,0,0,0
264.76,0.0,0.0,90,2,very low,0,0,0,0,0,0,0,1,0,0,0,0
274.22,0.0,0.0,90,2,very low,0,0,0,0,0,0,0,1,0,0,0,0
285.2,0.0,0.0,1,5,medium,0,0,0,0,0,0,0,1,0,0,0,0
275.08,0.0,0.0,1,11,medium,0,0,0,0,0,0,0,1,0,0,0,0
273.45,0.0,0.0,1,20,medium,0,0,0,0,0,0,0,1,0,0,0,0
294.69,0.0,0.0,1,4,very low,0,0,0,0,0,0,0,1,0,0,0,0
297.0,0.0,0.0,1,21,medium,0,0,0,0,0,0,0,1,0,0,0,0
302.74,0.0,0.0,40,16,very high,0,0,0,0,0,0,0,1,0,0,0,0
248.77,0.0,0.0,1,8,high,0,0,0,0,0,0,0,1,0,0,0,0
285.01,0.0,0.0,1,5,medium,0,0,0,0,0,0,0,1,0,0,0,0
294.88,0.0,0.0,75,10,high,0,0,0,0,0,0,0,1,0,0,0,0
273.35,0.0,0.0,90,1,very low,0,0,0,0,0,0,0,1,0,0,0,0
296.58,0.0,0.0,40,12,high,0,0,0,0,0,0,0,1,0,0,0,0
257.35,0.25,0.0,90,9,low,0,0,0,0,0,0,0,1,0,0,0,0
294.89,0.0,0.0,40,21,low,0,0,0,0,0,0,0,1,0,0,0,0
292.08,0.0,0.0,90,21,low,0,0,0,0,0,0,0,1,0,0,0,0
283.26,0.0,0.0,75,15,medium,0,0,0,0,0,0,0,1,0,0,0,0
276.08,0.0,0.0,90,14,high,0,0,0,0,0,0,0,1,0,0,0,0
294.45,0.0,0.0,1,21,low,0,0,0,0,0,0,0,1,0,0,0,0
267.25,0.0,0.25,90,21,low,0,0,0,0,0,0,0,1,0,0,0,0
292.84,1.78,0.0,90,21,low,0,0,0,0,0,0,0,1,0,0,0,0
294.54,0.25,0.0,90,2,very low,0,0,0,0,0,0,0,1,0,0,0,0
295.37,0.6,0.0,92,14,high,0,0,0,0,0,0,0,1,0,0,0,0
275.22,0.0,0.0,90,6,very low,0,0,0,0,0,0,0,1,0,0,0,0
295.36,0.0,0.0,40,13,medium,0,0,0,0,0,0,0,1,0,0,0,0
286.89,0.0,0.0,90,16,very high,0,0,0,0,0,0,0,1,0,0,0,0
286.06,0.0,0.0,90,7,very high,0,0,0,0,0,0,0,1,0,0,0,0
281.54,0.0,0.0,0,10,medium,0,0,0,0,0,0,0,1,0,0,0,0
274.33,0.0,0.0,75,15,very high,0,0,0,0,0,0,0,1,0,0,0,0
274.07,0.0,0.0,90,2,very low,0,0,0,0,0,0,0,1,0,0,0,0
269.75,0.0,0.0,75,22,low,0,0,0,0,0,0,0,1,0,0,0,0
296.69,0.0,0.0,1,6,high,0,0,0,0,0,0,0,1,0,0,0,0
284.29,0.0,0.0,90,2,very low,0,0,0,0,0,0,0,1,0,0,0,0
295.35,0.0,0.0,75,10,medium,0,0,0,0,0,0,0,1,0,0,0,0
300.95,0.0,0.0,40,17,medium,0,0,0,0,0,0,0,1,0,0,0,0
295.3,0.0,0.0,75,8,low,0,0,0,0,0,0,0,1,0,0,0,0
267.01,0.0,0.0,90,2,very low,0,0,0,0,0,0,0,1,0,0,0,0
293.87,0.0,0.0,1,4,very low,0,0,0,0,0,0,0,1,0,0,0,0
298.53,0.0,0.0,40,18,high,0,0,0,0,0,0,0,1,0,0,0,0
261.29,0.0,0.0,90,5,low,0,0,0,0,0,0,0,1,0,0,0,0
266.62,0.0,0.0,90,16,medium,0,0,0,0,0,0,0,1,0,0,0,0
278.72,0.0,0.0,75,21,low,0,0,0,0,0,0,0,1,0,0,0,0
272.49,0.0,0.0,1,22,low,0,0,0,0,0,0,0,1,0,0,0,0
291.56,0.25,0.0,40,12,high,0,0,0,0,0,0,0,1,0,0,0,0
272.7,0.0,0.0,90,21,low,0,0,0,0,0,0,0,1,0,0,0,0
251.5,0.0,0.0,5,14,medium,0,0,0,0,0,0,0,1,0,0,0,0
292.56,5.08,0.0,90,7,low,0,0,0,0,0,0,0,1,0,0,0,0
260.61,0.0,0.0,90,1,very low,0,0,0,0,0,0,0,1,0,0,0,0
287.65,0.0,0.0,40,6,low,0,0,0,0,0,0,0,1,0,0,0,0
295.0,6.1,0.0,90,20,medium,0,0,0,0,0,0,0,1,0,0,0,0
277.02,0.0,0.0,40,14,high,0,0,0,0,0,0,0,1,0,0,0,0
294.65,0.0,0.0,12,23,low,0,0,0,0,0,0,0,1,0,0,0,0
274.88,0.0,0.0,40,10,medium,0,0,0,0,0,0,0,1,0,0,0,0
251.08,0.0,0.0,1,3,very low,0,0,0,0,0,0,0,1,0,0,0,0
270.47,0.0,0.0,6,4,very low,0,0,0,0,0,0,0,1,0,0,0,0
276.35,0.25,0.0,90,7,very high,0,0,0,0,0,0,0,1,0,0,0,0
264.62,0.0,0.0,40,6,low,0,0,0,0,0,0,0,1,0,0,0,0
274.28,0.0,0.0,90,17,medium,0,0,0,0,0,0,0,1,0,0,0,0
273.61,0.0,0.0,90,19,medium,0,0,0,0,0,0,0,1,0,0,0,0
287.44,0.0,0.0,1,4,very low,0,0,0,0,0,0,0,1,0,0,0,0
280.54,0.0,0.0,90,22,low,0,0,0,0,0,0,0,1,0,0,0,0
296.52,0.0,0.0,48,11,high,0,0,0,0,0,0,0,1,0,0,0,0
271.01,0.0,0.0,90,16,very high,0,0,0,0,0,0,0,1,0,0,0,0
271.89,0.0,0.0,90,16,high,0,0,0,0,0,0,0,1,0,0,0,0
249.54,0.0,0.0,1,6,high,0,0,0,0,0,0,0,1,0,0,0,0
273.0,0.0,0.0,90,9,high,0,0,0,0,0,0,0,1,0,0,0,0
261.75,0.0,0.0,90,0,very low,0,0,0,0,0,0,0,1,0,0,0,0
265.61,0.0,0.0,1,4,very low,0,0,0,0,0,0,0,1,0,0,0,0
272.62,0.0,0.0,90,4,very low,0,0,0,0,0,0,0,1,0,0,0,0
290.64,0.0,0.0,0,6,high,0,0,0,0,0,0,0,1,0,0,0,0
288.86,0.0,0.0,75,9,high,0,0,0,0,0,0,0,1,0,0,0,0
291.77,0.0,0.0,20,23,low,0,0,0,0,0,0,0,1,0,0,0,0
284.68,0.43,0.0,90,18,medium,0,0,0,0,0,0,0,1,0,0,0,0
275.22,0.0,0.0,90,10,high,0,0,0,0,0,0,0,1,0,0,0,0
269.0,0.0,0.0,40,9,medium,0,0,0,0,0,0,0,1,0,0,0,0
276.58,0.0,0.0,64,14,high,0,0,0,0,0,0,0,1,0,0,0,0
300.09,0.0,0.0,75,19,medium,0,0,0,0,0,0,0,1,0,0,0,0
291.88,0.0,0.0,1,6,high,0,0,0,0,0,0,0,1,0,0,0,0
274.9,0.0,0.0,90,12,high,0,0,0,0,0,0,0,1,0,0,0,0
283.81,0.0,0.0,75,9,high,0,0,0,0,0,0,0,1,0,0,0,0
285.58,0.0,0.0,90,5,medium,0,0,0,0,0,0,0,1,0,0,0,0
291.13,0.0,0.0,40,0,very low,0,0,0,0,0,0,0,1,0,0,0,0
266.82,0.0,0.0,90,4,very low,0,0,0,0,0,0,0,1,0,0,0,0
294.64,0.0,0.0,1,0,very low,0,0,0,0,0,0,0,1,0,0,0,0
297.1,0.0,0.0,0,12,high,0,0,0,0,0,0,0,1,0,0,0,0
285.6,0.0,0.0,1,5,low,0,0,0,0,0,0,0,1,0,0,0,0
286.23,1.21,0.0,90,12,high,0,0,0,0,0,0,0,1,0,0,0,0
296.36,0.0,0.0,40,18,high,0,0,0,0,0,0,0,1,0,0,0,0
268.64,0.0,0.0,64,13,high,0,0,0,0,0,0,0,1,0,0,0,0
287.5,0.0,0.0,1,16,very high,0,0,0,0,0,0,0,1,0,0,0,0
272.07,0.0,0.0,90,9,high,0,0,0,0,0,0,0,1,0,0,0,0
288.49,0.0,0.0,40,4,very low,0,0,0,0,0,0,0,1,0,0,0,0
254.79,0.0,0.0,1,14,high,0,0,0,0,0,0,0,1,0,0,0,0
257.51,0.0,0.0,1,7,very high,0,0,0,0,0,0,0,1,0,0,0,0
291.28,0.0,0.0,87,21,low,0,0,0,0,0,0,0,1,0,0,0,0
285.4,0.0,0.0,75,17,very high,0,0,0,0,0,0,0,1,0,0,0,0
279.47,0.74,0.0,90,19,medium,0,0,0,0,0,0,0,1,0,0,0,0
297.51,0.0,0.0,1,23,very low,0,0,0,0,0,0,0,1,0,0,0,0
290.37,0.0,0.0,1,23,low,0,0,0,0,0,0,0,1,0,0,0,0
290.69,0.0,0.0,88,18,high,0,0,0,0,0,0,0,1,0,0,0,0
280.12,0.0,0.0,75,10,high,0,0,0,0,0,0,0,1,0,0,0,0
282.75,0.0,0.0,90,10,medium,0,0,0,0,0,0,0,1,0,0,0,0
256.57,0.0,0.0,75,2,very low,0,0,0,0,0,0,0,1,0,0,0,0
272.15,0.0,0.0,1,7,very high,0,0,0,0,0,0,0,1,0,0,0,0
309.29,0.0,0.0,40,16,very high,0,0,0,0,0,0,0,1,0,0,0,0
285.78,0.0,0.0,90,20,medium,0,0,0,0,0,0,0,1,0,0,0,0
280.52,0.0,0.0,90,22,medium,0,0,0,0,0,0,0,1,0,0,0,0
281.43,0.0,0.0,90,1,very low,0,0,0,0,0,0,0,1,0,0,0,0
271.92,0.0,0.0,64,23,very low,0,0,0,0,0,0,0,1,0,0,0,0
286.13,0.0,0.0,1,8,very high,0,0,0,0,0,0,0,1,0,0,0,0
283.01,0.0,0.0,40,8,low,0,0,0,0,0,0,0,1,0,0,0,0
265.58,0.0,0.0,64,3,very low,0,0,0,0,0,0,0,1,0,0,0,0
289.55,0.0,0.0,1,6,high,0,0,0,0,0,0,0,1,0,0,0,0
298.65,0.0,0.0,75,17,high,0,0,0,0,0,0,0,1,0,0,0,0
257.33,0.0,0.0,40,12,high,0,0,0,0,0,0,0,1,0,0,0,0
291.15,0.0,0.0,75,6,high,0,0,0,0,0,0,0,1,0,0,0,0
255.62,0.0,0.0,64,19,low,0,0,0,0,0,0,0,1,0,0,0,0
275.81,0.0,0.0,90,15,high,0,0,0,0,0,0,0,1,0,0,0,0
273.58,0.0,0.0,90,19,low,0,0,0,0,0,0,0,1,0,0,0,0
291.22,0.0,0.0,0,9,high,0,0,0,0,0,0,0,1,0,0,0,0
274.65,0.0,0.0,75,10,medium,0,0,0,0,0,0,0,1,0,0,0,0
256.15,0.0,0.0,1,18,high,0,0,0,0,0,0,0,1,0,0,0,0
301.15,0.0,0.0,20,19,medium,0,0,0,0,0,0,0,1,0,0,0,0
275.89,0.0,0.0,90,20,low,0,0,0,0,0,0,0,1,0,0,0,0
296.19,0.0,0.0,40,12,high,0,0,0,0,0,0,0,1,0,0,0,0
288.61,0.38,0.0,92,9,high,0,0,0,0,0,0,0,1,0,0,0,0
286.81,0.0,0.0,5,7,very high,0,0,0,0,0,0,0,1,0,0,0,0
299.98,0.0,0.0,40,18,high,0,0,0,0,0,0,0,1,0,0,0,0
297.93,0.0,0.0,1,19,medium,0,0,0,0,0,0,0,1,0,0,0,0
278.6,0.0,0.0,90,21,low,0,0,0,0,0,0,0,1,0,0,0,0
265.93,0.0,0.0,75,5,medium,0,0,0,0,0,0,0,1,0,0,0,0
287.15,0.0,0.0,90,22,low,0,0,0,0,0,0,0,1,0,0,0,0
280.15,0.0,0.0,90,23,very low,0,0,0,0,0,0,0,1,0,0,0,0
294.47,0.25,0.0,40,9,high,0,0,0,0,0,0,0,1,0,0,0,0
273.71,0.0,0.0,64,16,high,0,0,0,0,0,0,0,1,0,0,0,0
294.18,0.0,0.0,76,16,medium,0,0,0,0,0,0,0,1,0,0,0,0
255.5,0.0,0.0,5,9,high,0,0,0,0,0,0,0,1,0,0,0,0
291.28,0.0,0.0,90,10,high,0,0,0,0,0,0,0,1,0,0,0,0
267.06,0.0,0.0,90,13,high,0,0,0,0,0,0,0,1,0,0,0,0
275.65,0.0,0.0,5,20,low,0,0,0,0,0,0,0,1,0,0,0,0
268.35,0.0,0.0,75,10,high,0,0,0,0,0,0,0,1,0,0,0,0
278.02,0.0,0.0,90,19,medium,0,0,0,0,0,0,0,1,0,0,0,0
295.08,0.0,0.0,90,9,high,0,0,0,0,0,0,0,1,0,0,0,0
249.88,0.0,0.0,1,7,low,0,0,0,0,0,0,0,1,0,0,0,0
265.42,0.0,0.0,90,5,low,0,0,0,0,0,0,0,1,0,0,0,0
289.15,0.25,0.0,36,2,very low,0,0,0,0,0,0,0,1,0,0,0,0
259.61,0.0,0.0,1,11,high,0,0,0,0,0,0,0,1,0,0,0,0
269.7,0.0,0.0,40,9,high,0,0,0,0,0,0,0,1,0,0,0,0
273.69,0.0,0.0,1,20,low,0,0,0,0,0,0,0,1,0,0,0,0
272.135,0.0,0.0,36,5,very low,0,0,0,0,0,0,0,1,0,0,0,0
278.762,0.0,0.0,36,9,high,0,0,0,0,0,0,0,1,0,0,0,0
292.58,0.0,0.0,90,11,high,0,0,0,0,0,0,0,1,0,0,0,0
276.77,0.0,0.0,20,10,high,0,0,0,0,0,0,0,1,0,0,0,0
279.81,0.0,0.0,1,6,low,0,0,0,0,0,0,0,1,0,0,0,0
292.79,0.0,0.0,40,2,very low,0,0,0,0,0,0,0,1,0,0,0,0
285.71,0.8,0.0,90,22,medium,0,0,0,0,0,0,0,1,0,0,0,0
267.11,0.0,0.0,90,13,medium,0,0,0,0,0,0,0,1,0,0,0,0
272.42,0.0,0.0,90,19,low,0,0,0,0,0,0,0,1,0,0,0,0
263.08,0.0,0.0,20,21,low,0,0,0,0,0,0,0,1,0,0,0,0
294.31,0.0,0.0,1,6,high,0,0,0,0,0,0,0,1,0,0,0,0
269.21,0.0,0.0,1,3,very low,0,0,0,0,0,0,0,1,0,0,0,0
260.14,0.0,0.0,90,8,low,0,0,0,0,0,0,0,1,0,0,0,0
271.65,0.0,0.0,90,19,medium,0,0,0,0,0,0,0,1,0,0,0,0
287.49,0.0,0.0,90,19,low,0,0,0,0,0,0,0,1,0,0,0,0
301.68,0.0,0.0,40,11,high,0,0,0,0,0,0,0,1,0,0,0,0
300.28,0.0,0.0,1,18,medium,0,0,0,0,0,0,0,1,0,0,0,0
284.99,0.0,0.0,40,3,very low,0,0,0,0,0,0,0,1,0,0,0,0
288.92,0.0,0.0,0,1,very low,0,0,0,0,0,0,0,1,0,0,0,0
272.23,0.0,0.0,90,6,very low,0,0,0,0,0,0,0,1,0,0,0,0
296.28,0.0,0.0,75,19,medium,0,0,0,0,0,0,0,1,0,0,0,0
282.8,0.0,0.0,40,1,very low,0,0,0,0,0,0,0,1,0,0,0,0
272.86,0.0,0.0,5,7,very low,0,0,0,0,0,0,0,1,0,0,0,0
262.29,0.0,0.0,90,16,high,0,0,0,0,0,0,0,1,0,0,0,0
268.4,0.0,0.0,90,21,medium,0,0,0,0,0,0,0,1,0,0,0,0
266.43,0.0,0.0,90,0,very low,0,0,0,0,0,0,0,1,0,0,0,0
285.18,0.0,0.0,90,21,low,0,0,0,0,0,0,0,1,0,0,0,0
281.46,0.0,0.0,1,19,medium,0,0,0,0,0,0,0,1,0,0,0,0
272.86,0.0,0.0,90,17,very high,0,0,0,0,0,0,0,1,0,0,0,0
287.8,0.0,0.0,90,18,medium,0,0,0,0,0,0,0,1,0,0,0,0
301.68,0.0,0.0,90,16,high,0,0,0,0,0,0,0,1,0,0,0,0
271.34,0.0,0.0,90,18,medium,0,0,0,0,0,0,0,1,0,0,0,0
291.4,0.0,0.0,90,18,high,0,0,0,0,0,0,0,1,0,0,0,0
258.68,0.0,0.0,75,11,medium,0,0,0,0,0,0,0,1,0,0,0,0
273.29,0.0,0.0,1,21,medium,0,0,0,0,0,0,0,1,0,0,0,0
290.62,0.0,0.0,90,8,very high,0,0,0,0,0,0,0,1,0,0,0,0
294.3,0.0,0.0,1,11,high,0,0,0,0,0,0,0,1,0,0,0,0
289.02,0.0,0.0,1,17,very high,0,0,0,0,0,0,0,1,0,0,0,0
298.37,0.0,0.0,1,17,high,0,0,0,0,0,0,0,1,0,0,0,0
284.55,5.21,0.0,90,10,medium,0,0,0,0,0,0,0,1,0,0,0,0
291.6,0.0,0.0,90,5,medium,0,0,0,0,0,0,0,1,0,0,0,0
299.02,0.0,0.0,75,18,high,0,0,0,0,0,0,0,1,0,0,0,0
289.72,0.0,0.0,90,7,very high,0,0,0,0,0,0,0,1,0,0,0,0
281.02,0.0,0.0,90,18,high,0,0,0,0,0,0,0,1,0,0,0,0
283.04,0.0,0.0,1,5,very low,0,0,0,0,0,0,0,1,0,0,0,0
293.16,1.52,0.0,90,1,very low,0,0,0,0,0,0,0,1,0,0,0,0
286.82,0.0,0.0,90,11,high,0,0,0,0,0,0,0,1,0,0,0,0
277.08,0.0,0.0,1,17,high,0,0,0,0,0,0,0,1,0,0,0,0
296.89,1.78,0.0,40,23,very low,0,0,0,0,0,0,0,1,0,0,0,0
301.77,0.0,0.0,1,17,very high,0,0,0,0,0,0,0,1,0,0,0,0
295.7,0.0,0.0,90,5,very low,0,0,0,0,0,0,0,1,0,0,0,0
284.3,7.02,0.0,90,14,high,0,0,0,0,0,0,0,1,0,0,0,0
282.6,0.0,0.0,75,18,medium,0,0,0,0,0,0,0,1,0,0,0,0
284.36,0.0,0.0,90,2,very low,0,0,0,0,0,0,0,1,0,0,0,0
299.72,0.0,0.0,1,10,medium,0,0,0,0,0,0,0,1,0,0,0,0
293.59,0.0,0.0,75,6,very low,0,0,0,0,0,0,0,1,0,0,0,0
272.08,0.0,0.0,90,12,high,0,0,0,0,0,0,0,1,0,0,0,0
