holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical,temperature_categorical
None,293.82,0.0,0.0,75,Haze,haze,9/1/2017 19:00,3947,medium,high
None,271.21,0.0,0.0,1,Clear,sky is clear,1/8/2018 1:00,289,very low,low
None,288.18,0.0,0.0,1,Clear,sky is clear,8/26/2015 22:00,1770,low,medium
None,261.23,0.0,0.0,75,Snow,light snow,1/4/2016 9:00,4637,high,low
None,279.51,0.0,0.0,90,Rain,light rain,3/31/2016 2:00,279,very low,medium
None,279.22,0.0,0.0,1,Clear,sky is clear,5/3/2017 5:00,2970,medium,medium
None,287.27,0.0,0.0,90,Rain,light rain,7/14/2014 21:00,2263,low,medium
None,264.38,0.0,0.0,64,Mist,mist,1/10/2014 1:00,406,very low,low
None,249.48,0.0,0.0,1,Clear,sky is clear,1/2/2014 5:00,2439,low,low
None,287.29,0.0,0.0,1,Mist,mist,8/11/2017 4:00,894,very low,medium
None,266.15,0.0,0.0,90,Snow,light snow,1/14/2014 11:00,3454,medium,low
None,282.6,0.0,0.0,1,Clear,sky is clear,5/12/2017 1:00,846,very low,medium
None,264.58,0.0,0.0,40,Mist,mist,12/31/2012 22:00,2293,low,low
None,291.28,0.0,0.0,40,Clouds,scattered clouds,5/8/2018 8:00,6203,very high,medium
None,294.09,0.0,0.0,1,Clear,sky is clear,7/11/2018 1:00,401,very low,high
None,292.68,0.0,0.0,40,Clouds,scattered clouds,5/1/2018 15:00,5802,high,high
None,253.55,0.0,0.0,5,Snow,light snow,2/7/2018 8:00,4915,high,low
None,272.15,0.0,0.0,75,Clouds,broken clouds,4/2/2016 13:00,5023,high,low
None,279.87,0.0,0.0,1,Clear,sky is clear,10/16/2012 1:00,324,very low,medium
None,273.55,0.0,0.0,90,Snow,heavy snow,5/4/2013 8:00,3400,medium,medium
None,298.98,0.0,0.0,90,Clouds,overcast clouds,7/11/2015 17:00,4012,medium,high
None,258.89,0.0,0.0,64,Clouds,broken clouds,12/18/2013 0:00,658,very low,low
None,286.87,0.0,0.0,5,Clear,sky is clear,10/8/2017 21:00,2286,low,medium
None,281.86,0.0,0.0,75,Clouds,broken clouds,10/26/2017 9:00,5535,high,medium
None,299.2,0.25,0.0,8,Rain,light rain,9/9/2013 13:00,4990,high,high
None,300.69,0.0,0.0,0,Clear,Sky is Clear,6/17/2016 16:00,5954,very high,high
None,289.8,0.0,0.0,90,Rain,light rain,9/9/2016 3:00,355,very low,medium
None,301.22,0.0,0.0,40,Clouds,scattered clouds,7/2/2018 20:00,2792,low,high
None,286.77,0.0,0.0,0,Clear,Sky is Clear,2/18/2017 16:00,4912,high,medium
None,269.65,0.0,0.0,75,Clouds,broken clouds,2/25/2018 13:00,3840,medium,low
None,297.08,0.0,0.0,1,Clear,sky is clear,7/22/2017 10:00,3738,medium,high
None,271.341,0.0,0.0,8,Clear,sky is clear,2/15/2017 19:00,3502,medium,low
None,257.75,0.0,0.0,90,Clouds,overcast clouds,1/15/2013 7:00,5916,very high,low
None,267.43,0.0,0.0,90,Clouds,overcast clouds,2/9/2013 5:00,730,very low,low
None,275.95,0.0,0.0,90,Mist,mist,4/10/2017 19:00,2730,low,medium
None,290.68,7.72,0.0,90,Rain,heavy intensity rain,8/18/2015 13:00,4444,high,medium
None,277.29,0.0,0.0,5,Clear,sky is clear,3/1/2018 17:00,6236,very high,medium
None,296.02,0.0,0.0,75,Clouds,broken clouds,8/22/2017 16:00,6537,very high,high
None,287.13,0.0,0.0,75,Clouds,broken clouds,7/2/2016 1:00,940,very low,medium
None,291.37,0.66,0.0,1,Rain,moderate rain,6/2/2014 8:00,6252,very high,medium
None,278.87,0.0,0.0,1,Clear,sky is clear,2/19/2016 21:00,3102,medium,medium
None,254.51,0.0,0.0,1,Clear,sky is clear,1/18/2016 18:00,3669,medium,low
None,270.56,0.0,0.0,64,Mist,mist,11/8/2013 8:00,5722,high,low
None,273.08,0.0,0.0,90,Clouds,overcast clouds,10/28/2017 8:00,2950,medium,medium
None,295.81,0.0,0.0,1,Clear,sky is clear,9/20/2017 14:00,5210,high,high
None,271.57,0.0,0.0,1,Clear,sky is clear,3/14/2014 22:00,2505,low,low
None,292.82,0.0,0.0,90,Clouds,overcast clouds,6/23/2013 9:00,2803,low,high
None,290.63,0.0,0.0,12,Clouds,few clouds,8/8/2013 10:00,4815,high,medium
None,261.68,0.0,0.0,20,Clouds,few clouds,1/15/2013 14:00,5136,high,low
None,273.58,0.0,0.0,75,Haze,haze,11/15/2016 4:00,888,very low,medium
None,275.84,0.0,0.0,90,Mist,mist,3/24/2017 8:00,5803,high,medium
None,248.15,0.0,0.0,1,Clear,sky is clear,1/8/2014 23:00,959,very low,low
None,301.5,0.0,0.0,40,Clouds,scattered clouds,7/27/2015 14:00,4943,high,high
None,281.73,0.0,0.0,1,Clear,sky is clear,5/11/2017 5:00,2915,medium,medium
None,275.84,0.0,0.0,92,Mist,mist,3/24/2017 9:00,4922,high,medium
None,296.73,0.0,0.0,1,Clear,sky is clear,8/23/2018 12:00,5136,high,high
None,259.81,0.0,0.0,75,Clouds,broken clouds,12/12/2017 9:00,5184,high,low
None,287.71,0.0,0.0,0,Mist,mist,7/12/2013 5:00,2828,low,medium
None,290.437,0.0,0.0,88,Clouds,overcast clouds,8/21/2018 2:00,316,very low,medium
None,293.29,0.0,0.0,1,Clear,sky is clear,7/23/2017 3:00,413,very low,high
None,287.39,0.0,0.0,92,Rain,light rain,9/23/2016 6:00,5345,high,medium
None,286.87,0.0,0.0,90,Clouds,overcast clouds,11/22/2012 13:00,3213,medium,medium
None,277.61,0.0,0.0,75,Clouds,broken clouds,3/28/2018 21:00,2616,low,medium
None,301.82,0.0,0.0,1,Clear,sky is clear,8/15/2018 15:00,5428,high,high
None,263.68,0.0,0.0,90,Snow,light snow,1/28/2018 9:00,3024,medium,low
None,279.51,0.0,0.0,90,Mist,mist,12/10/2015 12:00,4743,high,medium
None,279.07,0.0,0.0,1,Clear,sky is clear,4/11/2014 0:00,680,very low,medium
None,284.29,0.0,0.0,90,Rain,light rain,10/25/2012 18:00,5351,high,medium
None,283.0,0.0,0.0,1,Clear,sky is clear,5/18/2016 8:00,5742,high,medium
None,271.58,0.0,0.0,1,Clear,sky is clear,3/28/2013 23:00,1273,very low,low
None,297.62,0.25,0.0,90,Rain,moderate rain,9/16/2015 23:00,955,very low,high
None,290.75,0.51,0.0,90,Mist,mist,9/24/2015 8:00,5940,very high,medium
None,258.36,0.0,0.0,75,Snow,light snow,12/29/2017 0:00,741,very low,low
None,279.21,0.0,0.0,90,Clouds,overcast clouds,12/7/2012 8:00,6012,very high,medium
None,273.57,0.0,0.0,90,Rain,light rain,12/16/2012 23:00,929,very low,medium
None,286.15,0.0,0.0,90,Clouds,overcast clouds,5/29/2017 9:00,2371,low,medium
None,274.52,0.0,0.0,90,Clouds,overcast clouds,4/14/2013 13:00,3681,medium,medium
None,277.74,0.0,0.0,75,Clouds,broken clouds,4/9/2014 8:00,6217,very high,medium
None,284.71,0.0,0.0,75,Clouds,broken clouds,5/30/2017 3:00,313,very low,medium
None,285.75,0.0,0.0,90,Mist,mist,5/17/2017 23:00,1328,very low,medium
None,285.95,0.0,0.0,90,Clouds,overcast clouds,4/12/2017 15:00,5712,high,medium
None,287.86,0.0,0.0,20,Clouds,few clouds,7/29/2017 7:00,1365,very low,medium
None,272.6,0.0,0.0,90,Fog,fog,4/12/2013 7:00,5652,high,medium
None,277.69,0.0,0.0,75,Clouds,broken clouds,4/12/2018 23:00,1168,very low,medium
None,297.79,0.0,0.0,1,Clear,sky is clear,7/3/2013 11:00,5123,high,high
None,273.72,0.0,0.0,1,Clear,sky is clear,4/21/2018 6:00,1418,very low,medium
None,296.59,0.0,0.0,12,Clouds,few clouds,7/7/2013 8:00,1604,low,high
None,291.52,1.49,0.0,90,Rain,moderate rain,6/28/2015 1:00,816,very low,medium
None,254.42,0.0,0.0,1,Clear,sky is clear,1/4/2017 4:00,836,very low,low
None,274.7,0.25,0.0,64,Rain,light rain,12/27/2013 19:00,3143,medium,medium
None,255.93,0.0,0.0,20,Clouds,few clouds,2/14/2014 8:00,5516,high,low
None,290.08,0.0,0.0,90,Rain,heavy intensity rain,9/25/2017 5:00,2880,low,medium
None,271.63,0.0,0.0,90,Mist,mist,4/14/2013 2:00,690,very low,low
None,289.22,0.0,0.0,1,Clear,sky is clear,4/26/2018 19:00,3813,medium,medium
None,268.61,0.0,0.0,90,Mist,mist,3/5/2013 8:00,3380,medium,low
None,265.89,0.0,0.0,75,Clouds,broken clouds,1/14/2014 13:00,4062,medium,low
None,276.56,0.0,0.0,1,Clear,sky is clear,4/24/2013 20:00,2963,medium,medium
None,292.61,0.0,0.0,8,Clear,sky is clear,6/8/2016 23:00,1418,very low,high
None,275.09,0.0,0.0,90,Mist,mist,11/18/2016 14:00,4694,high,medium
None,283.973,0.0,0.0,0,Clear,Sky is Clear,10/5/2016 22:00,1886,low,medium
None,286.92,0.0,0.0,0,Clear,Sky is Clear,9/26/2013 5:00,2971,medium,medium
None,284.07,0.0,0.0,12,Clouds,few clouds,5/7/2014 8:00,6108,very high,medium
None,286.38,0.0,0.0,92,Clouds,overcast clouds,6/8/2013 10:00,3761,medium,medium
None,281.75,0.0,0.0,1,Clear,sky is clear,11/6/2016 5:00,455,very low,medium
None,271.53,1.27,0.0,90,Rain,moderate rain,12/4/2013 9:00,3876,medium,low
None,272.08,0.0,0.0,90,Haze,haze,1/24/2016 15:00,3865,medium,low
None,270.95,0.0,0.0,1,Clear,sky is clear,3/21/2016 3:00,318,very low,low
None,271.15,0.0,0.0,90,Snow,light snow,1/24/2016 11:00,3590,medium,low
None,257.01,0.0,0.0,93,Clouds,overcast clouds,2/3/2013 17:00,3536,medium,low
None,294.02,0.0,0.0,90,Mist,mist,7/1/2018 9:00,2495,low,high
None,278.09,0.0,0.0,90,Mist,mist,4/26/2016 7:00,7149,very high,medium
None,285.99,0.0,0.0,90,Clouds,overcast clouds,10/2/2017 7:00,6577,very high,medium
None,275.84,0.0,0.0,90,Rain,moderate rain,3/4/2018 5:00,431,very low,medium
None,280.71,0.0,0.0,90,Clouds,overcast clouds,5/23/2013 6:00,5919,very high,medium
None,297.48,0.0,0.0,1,Clear,sky is clear,4/14/2016 18:00,4686,high,high
None,291.2,0.0,0.0,1,Clear,sky is clear,7/27/2014 6:00,861,very low,medium
None,301.25,0.0,0.0,64,Rain,moderate rain,7/10/2013 19:00,3523,medium,high
None,284.64,0.0,0.0,90,Clouds,overcast clouds,10/12/2012 1:00,410,very low,medium
None,284.38,0.0,0.0,8,Clear,sky is clear,10/9/2015 11:00,4930,high,medium
None,291.79,5.46,0.0,90,Mist,mist,7/10/2016 6:00,1481,low,medium
None,295.27,0.44,0.0,90,Rain,light rain,9/3/2018 19:00,3006,medium,high
None,290.09,0.0,0.0,90,Rain,light rain,9/16/2017 21:00,2929,medium,medium
None,285.39,0.0,0.0,90,Rain,light rain,5/16/2016 2:00,285,very low,medium
None,270.02,0.0,0.0,1,Clear,sky is clear,2/19/2014 1:00,340,very low,low
None,286.267,0.0,0.0,88,Clouds,overcast clouds,2/19/2017 18:00,3843,medium,medium
None,276.02,0.0,0.0,92,Mist,mist,3/24/2017 7:00,6222,very high,medium
None,254.51,0.0,0.0,40,Clouds,scattered clouds,1/16/2016 8:00,2603,low,low
None,276.793,0.0,0.0,64,Clouds,broken clouds,1/17/2014 21:00,2614,low,medium
None,280.52,0.0,0.0,1,Clear,sky is clear,10/9/2015 21:00,2963,medium,medium
None,289.94,0.0,0.0,5,Clear,sky is clear,7/24/2018 7:00,6409,very high,medium
None,289.89,0.0,0.0,40,Mist,mist,5/16/2017 7:00,6326,very high,medium
None,292.72,0.0,0.0,90,Clouds,overcast clouds,7/10/2017 8:00,5827,very high,high
None,271.26,0.0,0.0,90,Clouds,overcast clouds,3/27/2013 2:00,264,very low,low
None,294.45,0.0,0.0,1,Rain,light rain,9/20/2015 16:00,4183,medium,high
None,271.88,0.0,0.0,90,Clouds,overcast clouds,2/18/2018 11:00,3826,medium,low
None,281.32,0.0,0.0,90,Rain,light rain,11/16/2013 19:00,3147,medium,medium
None,295.29,0.0,0.0,48,Clouds,scattered clouds,6/15/2013 23:00,2137,low,high
None,295.61,0.89,0.0,0,Rain,moderate rain,6/17/2013 19:00,3426,medium,high
None,295.55,0.0,0.0,40,Thunderstorm,proximity thunderstorm,7/6/2017 8:00,5356,high,high
None,282.9,0.0,0.0,90,Mist,mist,5/22/2013 23:00,1125,very low,medium
None,287.15,0.0,0.0,90,Drizzle,drizzle,5/18/2013 7:00,1984,low,medium
None,293.47,0.0,0.0,12,Clouds,few clouds,7/31/2013 14:00,5655,high,high
None,284.603,0.0,0.0,0,Clear,Sky is Clear,10/19/2016 8:00,5862,very high,medium
None,301.57,0.0,0.0,1,Clear,sky is clear,8/31/2015 15:00,5773,high,high
None,285.91,0.0,0.0,90,Clouds,overcast clouds,5/12/2016 15:00,5754,high,medium
None,271.95,0.0,0.0,90,Mist,mist,12/10/2012 4:00,794,very low,low
None,289.85,0.0,0.0,1,Clear,sky is clear,5/29/2014 1:00,443,very low,medium
None,271.68,0.0,0.0,90,Clouds,overcast clouds,1/25/2017 18:00,4289,medium,low
None,290.22,0.0,0.0,20,Clouds,few clouds,8/10/2017 23:00,1414,very low,medium
None,281.372,0.0,0.0,12,Clouds,few clouds,10/28/2016 0:00,697,very low,medium
None,283.15,0.0,0.0,90,Drizzle,light intensity drizzle,5/21/2017 13:00,4461,high,medium
None,288.15,0.0,0.0,75,Drizzle,light intensity drizzle,5/4/2018 1:00,393,very low,medium
None,298.31,0.0,0.0,1,Clear,sky is clear,7/5/2015 12:00,3874,medium,high
None,260.08,0.0,0.0,90,Snow,heavy snow,1/24/2013 8:00,6256,very high,low
None,272.46,0.0,0.0,90,Mist,mist,2/10/2013 17:00,2230,low,medium
None,258.01,0.0,0.0,90,Snow,light snow,1/15/2018 13:00,4207,medium,low
None,285.07,0.0,0.0,90,Mist,mist,12/4/2017 16:00,6533,very high,medium
None,276.76,0.0,0.0,90,Clouds,overcast clouds,11/7/2012 23:00,1219,very low,medium
None,272.41,0.0,0.0,90,Snow,heavy snow,12/10/2012 12:00,3866,medium,medium
None,277.09,0.0,0.0,1,Mist,mist,11/2/2016 4:00,801,very low,medium
None,263.76,0.0,0.0,64,Clouds,broken clouds,12/16/2013 15:00,5109,high,low
None,265.48,0.0,0.0,75,Snow,light snow,12/8/2016 5:00,2835,low,low
None,288.36,0.0,0.0,1,Clear,sky is clear,5/4/2018 9:00,5156,high,medium
None,283.27,0.0,0.0,1,Clear,sky is clear,9/19/2015 3:00,383,very low,medium
None,272.4,0.0,0.0,90,Clouds,overcast clouds,12/3/2016 18:00,4412,high,medium
None,283.33,1.55,0.0,90,Rain,moderate rain,5/10/2016 4:00,828,very low,medium
None,278.93,0.0,0.0,90,Drizzle,drizzle,10/29/2015 8:00,5760,high,medium
None,271.46,0.0,0.0,90,Clouds,overcast clouds,1/29/2014 19:00,3122,medium,low
None,271.45,0.0,0.0,64,Mist,mist,12/4/2013 13:00,3880,medium,low
None,273.42,0.0,0.0,90,Mist,mist,1/17/2017 19:00,2982,medium,medium
None,280.86,0.0,0.0,90,Drizzle,drizzle,5/22/2017 0:00,581,very low,medium
None,290.15,0.0,0.0,90,Thunderstorm,proximity thunderstorm,6/30/2017 5:00,2664,low,medium
None,295.3,0.0,0.0,56,Rain,moderate rain,6/20/2016 2:00,323,very low,high
None,299.27,0.0,0.0,1,Clear,sky is clear,8/8/2015 18:00,4079,medium,high
None,290.48,0.0,0.0,1,Clear,sky is clear,7/15/2017 7:00,1991,low,medium
None,285.37,0.0,0.0,1,Mist,mist,9/8/2018 4:00,459,very low,medium
None,295.39,9.15,0.0,90,Rain,heavy intensity rain,9/6/2016 6:00,4763,high,high
None,276.15,0.0,0.0,1,Clear,sky is clear,3/22/2016 8:00,6137,very high,medium
None,286.25,0.0,0.0,68,Clouds,broken clouds,7/1/2013 5:00,2815,low,medium
None,301.9,0.0,0.0,40,Clouds,scattered clouds,8/3/2014 14:00,4720,high,high
None,264.99,0.0,0.0,90,Snow,heavy snow,12/30/2012 3:00,356,very low,low
None,275.08,0.0,0.0,90,Clouds,overcast clouds,11/4/2012 6:00,710,very low,medium
None,263.38,0.0,0.0,40,Snow,heavy snow,12/30/2012 12:00,3951,medium,low
None,273.47,0.0,0.0,90,Mist,mist,4/19/2013 12:00,4614,high,medium
None,276.61,0.0,0.0,40,Clouds,scattered clouds,3/6/2016 8:00,1987,low,medium
None,271.35,0.0,0.0,90,Snow,light snow,4/15/2018 14:00,2406,low,low
None,271.87,0.0,0.0,90,Mist,mist,12/22/2015 4:00,806,very low,low
None,275.96,0.68,0.0,64,Rain,light rain,1/19/2014 13:00,4117,medium,medium
None,297.08,0.0,0.0,1,Thunderstorm,proximity thunderstorm,7/6/2017 3:00,305,very low,high
None,275.67,0.0,0.0,90,Mist,mist,4/23/2013 4:00,797,very low,medium
None,294.35,0.0,0.0,1,Clear,sky is clear,7/2/2014 20:00,3030,medium,high
None,300.15,0.0,0.0,1,Clear,sky is clear,7/3/2017 16:00,4791,high,high
None,286.01,0.0,0.0,1,Clear,sky is clear,10/19/2015 6:00,5769,high,medium
None,298.86,0.0,0.0,90,Clouds,overcast clouds,5/25/2014 12:00,3671,medium,high
None,292.5,0.0,0.0,1,Clear,sky is clear,9/15/2017 7:00,6744,very high,high
None,275.43,0.0,0.0,90,Mist,mist,3/9/2016 8:00,6115,very high,medium
None,305.17,0.0,0.0,40,Clouds,scattered clouds,9/6/2013 16:00,6535,very high,high
None,294.23,0.0,0.0,75,Clouds,broken clouds,5/20/2018 20:00,2692,low,high
None,289.0,0.0,0.0,90,Mist,mist,6/2/2018 14:00,4896,high,medium
None,249.38,0.0,0.0,1,Clear,sky is clear,3/3/2014 2:00,263,very low,low
None,273.13,0.0,0.0,90,Snow,heavy snow,11/23/2012 18:00,3420,medium,medium
None,288.29,0.0,0.0,20,Thunderstorm,proximity thunderstorm,11/11/2012 18:00,3390,medium,medium
None,284.79,0.0,0.0,90,Mist,mist,4/25/2016 15:00,5847,very high,medium
None,273.05,0.0,0.0,75,Clouds,broken clouds,1/8/2013 12:00,4589,high,medium
None,285.08,0.0,0.0,75,Rain,moderate rain,5/2/2018 3:00,351,very low,medium
None,296.47,0.0,0.0,1,Clear,sky is clear,9/1/2016 17:00,5710,high,high
None,296.86,0.0,0.0,1,Clear,sky is clear,5/23/2014 15:00,5962,very high,high
None,271.15,0.0,0.0,1,Mist,mist,3/28/2016 3:00,302,very low,low
None,292.08,0.0,0.0,90,Mist,mist,5/20/2013 7:00,6136,very high,high
None,278.974,0.0,0.0,8,Clear,sky is clear,10/21/2016 10:00,4377,high,medium
None,288.22,0.0,0.0,40,Clouds,scattered clouds,8/24/2017 9:00,5825,very high,medium
None,290.44,0.0,0.0,1,Clear,sky is clear,4/17/2016 2:00,648,very low,medium
None,289.42,0.0,0.0,1,Clear,sky is clear,8/27/2015 8:00,6138,very high,medium
None,254.71,0.0,0.0,1,Clear,sky is clear,12/17/2016 18:00,3346,medium,low
None,295.69,0.0,0.0,75,Clouds,broken clouds,9/7/2017 16:00,6492,very high,high
None,272.8,0.0,0.0,90,Mist,mist,4/11/2013 1:00,330,very low,medium
None,288.75,0.0,0.0,1,Clear,sky is clear,8/24/2013 5:00,1003,very low,medium
None,271.94,0.0,0.0,90,Clouds,overcast clouds,4/14/2013 9:00,2347,low,low
None,280.19,0.0,0.0,90,Clouds,overcast clouds,9/30/2018 1:00,920,very low,medium
None,294.15,0.0,0.0,1,Clear,sky is clear,5/22/2014 19:00,3525,medium,high
None,274.32,0.25,0.0,90,Rain,light rain,12/3/2013 15:00,5651,high,medium
None,269.78,0.0,0.0,90,Mist,mist,12/10/2012 21:00,1983,low,low
None,289.47,7.11,0.0,92,Rain,heavy intensity rain,8/6/2013 3:00,386,very low,medium
None,296.72,0.0,0.0,40,Clouds,scattered clouds,9/5/2016 11:00,3615,medium,high
None,265.15,0.0,0.0,1,Clear,sky is clear,11/24/2013 9:00,2623,low,low
None,271.51,0.0,0.0,1,Clear,sky is clear,11/30/2017 22:00,2969,medium,low
None,291.15,0.0,0.0,1,Clear,sky is clear,5/1/2013 7:00,6017,very high,medium
None,292.56,0.0,0.0,5,Clear,sky is clear,5/31/2017 21:00,2806,low,high
None,273.86,0.0,0.0,90,Clouds,overcast clouds,11/12/2017 13:00,4114,medium,medium
None,268.41,0.0,0.0,90,Clouds,overcast clouds,2/12/2013 17:00,6079,very high,low
None,281.28,0.0,0.0,1,Clear,sky is clear,5/7/2013 8:00,6501,very high,medium
None,276.63,0.0,0.0,75,Clouds,broken clouds,4/17/2013 21:00,2511,low,medium
None,272.55,0.0,0.0,1,Fog,fog,1/19/2017 0:00,759,very low,medium
None,292.53,0.0,0.0,40,Clouds,scattered clouds,7/19/2014 4:00,519,very low,high
None,296.28,0.0,0.0,56,Clouds,broken clouds,8/4/2013 13:00,4301,medium,high
None,271.17,0.0,0.21,90,Snow,light snow,12/26/2015 9:00,2013,low,low
None,278.43,0.0,0.0,90,Drizzle,light intensity drizzle,10/29/2017 15:00,4514,high,medium
None,281.469,0.0,0.0,80,Clouds,broken clouds,10/27/2016 13:00,4710,high,medium
None,292.58,0.0,0.0,90,Rain,moderate rain,6/19/2018 20:00,2804,low,high
None,293.51,6.94,0.0,90,Mist,mist,6/22/2013 4:00,400,very low,high
None,281.08,0.0,0.0,90,Rain,light rain,10/29/2015 12:00,4896,high,medium
None,303.16,0.0,0.0,20,Clouds,few clouds,5/30/2014 14:00,5733,high,high
None,280.98,0.0,0.0,1,Clear,sky is clear,5/4/2016 23:00,1084,very low,medium
None,257.93,0.0,0.0,1,Clear,sky is clear,12/19/2016 4:00,770,very low,low
