holiday,temperature,rain_1h,snow_1h,clouds_percentage,weather_type,weather_type_details,date_time,population_density,population_density_categorical
None,295.39,9.15,0.0,90,Rain,heavy intensity rain,9/6/2016 6:00,4763,high
None,276.15,0.0,0.0,1,Clear,sky is clear,3/22/2016 8:00,6137,very high
None,286.25,0.0,0.0,68,Clouds,broken clouds,7/1/2013 5:00,2815,low
None,301.9,0.0,0.0,40,Clouds,scattered clouds,8/3/2014 14:00,4720,high
None,264.99,0.0,0.0,90,Snow,heavy snow,12/30/2012 3:00,356,very low
None,275.08,0.0,0.0,90,Clouds,overcast clouds,11/4/2012 6:00,710,very low
None,263.38,0.0,0.0,40,Snow,heavy snow,12/30/2012 12:00,3951,medium
None,273.47,0.0,0.0,90,Mist,mist,4/19/2013 12:00,4614,high
None,276.61,0.0,0.0,40,Clouds,scattered clouds,3/6/2016 8:00,1987,low
None,271.35,0.0,0.0,90,Snow,light snow,4/15/2018 14:00,2406,low
None,271.87,0.0,0.0,90,Mist,mist,12/22/2015 4:00,806,very low
None,275.96,0.68,0.0,64,Rain,light rain,1/19/2014 13:00,4117,medium
None,297.08,0.0,0.0,1,Thunderstorm,proximity thunderstorm,7/6/2017 3:00,305,very low
None,275.67,0.0,0.0,90,Mist,mist,4/23/2013 4:00,797,very low
None,294.35,0.0,0.0,1,Clear,sky is clear,7/2/2014 20:00,3030,medium
None,300.15,0.0,0.0,1,Clear,sky is clear,7/3/2017 16:00,4791,high
None,286.01,0.0,0.0,1,Clear,sky is clear,10/19/2015 6:00,5769,high
None,298.86,0.0,0.0,90,Clouds,overcast clouds,5/25/2014 12:00,3671,medium
None,292.5,0.0,0.0,1,Clear,sky is clear,9/15/2017 7:00,6744,very high
None,275.43,0.0,0.0,90,Mist,mist,3/9/2016 8:00,6115,very high
None,305.17,0.0,0.0,40,Clouds,scattered clouds,9/6/2013 16:00,6535,very high
None,294.23,0.0,0.0,75,Clouds,broken clouds,5/20/2018 20:00,2692,low
None,289.0,0.0,0.0,90,Mist,mist,6/2/2018 14:00,4896,high
None,249.38,0.0,0.0,1,Clear,sky is clear,3/3/2014 2:00,263,very low
None,273.13,0.0,0.0,90,Snow,heavy snow,11/23/2012 18:00,3420,medium
None,288.29,0.0,0.0,20,Thunderstorm,proximity thunderstorm,11/11/2012 18:00,3390,medium
None,284.79,0.0,0.0,90,Mist,mist,4/25/2016 15:00,5847,very high
None,273.05,0.0,0.0,75,Clouds,broken clouds,1/8/2013 12:00,4589,high
None,285.08,0.0,0.0,75,Rain,moderate rain,5/2/2018 3:00,351,very low
None,296.47,0.0,0.0,1,Clear,sky is clear,9/1/2016 17:00,5710,high
None,296.86,0.0,0.0,1,Clear,sky is clear,5/23/2014 15:00,5962,very high
None,271.15,0.0,0.0,1,Mist,mist,3/28/2016 3:00,302,very low
None,292.08,0.0,0.0,90,Mist,mist,5/20/2013 7:00,6136,very high
None,278.974,0.0,0.0,8,Clear,sky is clear,10/21/2016 10:00,4377,high
None,288.22,0.0,0.0,40,Clouds,scattered clouds,8/24/2017 9:00,5825,very high
None,290.44,0.0,0.0,1,Clear,sky is clear,4/17/2016 2:00,648,very low
None,289.42,0.0,0.0,1,Clear,sky is clear,8/27/2015 8:00,6138,very high
None,254.71,0.0,0.0,1,Clear,sky is clear,12/17/2016 18:00,3346,medium
None,295.69,0.0,0.0,75,Clouds,broken clouds,9/7/2017 16:00,6492,very high
None,272.8,0.0,0.0,90,Mist,mist,4/11/2013 1:00,330,very low
None,288.75,0.0,0.0,1,Clear,sky is clear,8/24/2013 5:00,1003,very low
None,271.94,0.0,0.0,90,Clouds,overcast clouds,4/14/2013 9:00,2347,low
None,280.19,0.0,0.0,90,Clouds,overcast clouds,9/30/2018 1:00,920,very low
None,294.15,0.0,0.0,1,Clear,sky is clear,5/22/2014 19:00,3525,medium
None,274.32,0.25,0.0,90,Rain,light rain,12/3/2013 15:00,5651,high
None,269.78,0.0,0.0,90,Mist,mist,12/10/2012 21:00,1983,low
None,289.47,7.11,0.0,92,Rain,heavy intensity rain,8/6/2013 3:00,386,very low
None,296.72,0.0,0.0,40,Clouds,scattered clouds,9/5/2016 11:00,3615,medium
None,265.15,0.0,0.0,1,Clear,sky is clear,11/24/2013 9:00,2623,low
None,271.51,0.0,0.0,1,Clear,sky is clear,11/30/2017 22:00,2969,medium
None,291.15,0.0,0.0,1,Clear,sky is clear,5/1/2013 7:00,6017,very high
None,292.56,0.0,0.0,5,Clear,sky is clear,5/31/2017 21:00,2806,low
None,273.86,0.0,0.0,90,Clouds,overcast clouds,11/12/2017 13:00,4114,medium
None,268.41,0.0,0.0,90,Clouds,overcast clouds,2/12/2013 17:00,6079,very high
None,281.28,0.0,0.0,1,Clear,sky is clear,5/7/2013 8:00,6501,very high
None,276.63,0.0,0.0,75,Clouds,broken clouds,4/17/2013 21:00,2511,low
None,272.55,0.0,0.0,1,Fog,fog,1/19/2017 0:00,759,very low
None,292.53,0.0,0.0,40,Clouds,scattered clouds,7/19/2014 4:00,519,very low
None,296.28,0.0,0.0,56,Clouds,broken clouds,8/4/2013 13:00,4301,medium
None,271.17,0.0,0.21,90,Snow,light snow,12/26/2015 9:00,2013,low
None,278.43,0.0,0.0,90,Drizzle,light intensity drizzle,10/29/2017 15:00,4514,high
None,281.469,0.0,0.0,80,Clouds,broken clouds,10/27/2016 13:00,4710,high
None,292.58,0.0,0.0,90,Rain,moderate rain,6/19/2018 20:00,2804,low
None,293.51,6.94,0.0,90,Mist,mist,6/22/2013 4:00,400,very low
None,281.08,0.0,0.0,90,Rain,light rain,10/29/2015 12:00,4896,high
None,303.16,0.0,0.0,20,Clouds,few clouds,5/30/2014 14:00,5733,high
None,280.98,0.0,0.0,1,Clear,sky is clear,5/4/2016 23:00,1084,very low
None,257.93,0.0,0.0,1,Clear,sky is clear,12/19/2016 4:00,770,very low
None,269.71,0.0,0.0,64,Clouds,broken clouds,11/11/2013 14:00,4971,high
None,276.94,0.0,0.0,90,Mist,mist,12/13/2015 10:00,3331,medium
None,294.23,0.0,0.0,75,Clouds,broken clouds,8/12/2013 11:00,4837,high
None,301.36,0.0,0.0,40,Clouds,scattered clouds,7/27/2017 19:00,3683,medium
None,298.24,0.0,0.0,24,Clouds,few clouds,7/9/2014 19:00,3671,medium
None,282.6,0.0,0.0,81,Clear,sky is clear,10/10/2012 18:00,4775,high
None,272.07,0.0,0.0,90,Mist,mist,11/26/2015 16:00,2939,medium
None,286.34,6.45,0.0,75,Rain,heavy intensity rain,6/7/2014 7:00,2274,low
None,291.29,0.0,0.0,90,Clouds,overcast clouds,7/26/2018 12:00,4806,high
None,289.56,0.0,0.0,1,Clear,sky is clear,6/1/2017 23:00,1407,very low
None,292.803,0.0,0.0,92,Clouds,overcast clouds,8/16/2017 5:00,2963,medium
None,271.35,2.29,0.0,90,Rain,moderate rain,4/4/2014 0:00,528,very low
None,296.2,1.5,0.0,90,Thunderstorm,thunderstorm with heavy rain,7/6/2015 1:00,398,very low
None,266.96,0.0,0.0,1,Clear,sky is clear,4/2/2014 5:00,2651,low
None,288.15,0.0,0.0,75,Clouds,broken clouds,4/7/2017 16:00,6688,very high
None,279.84,0.44,0.0,90,Rain,light rain,4/28/2014 17:00,5789,high
None,268.87,0.0,0.0,40,Clouds,scattered clouds,3/7/2013 18:00,4818,high
None,295.95,0.0,0.0,75,Clouds,broken clouds,8/8/2015 12:00,4352,medium
