author,text
austen,wa veri lucki would poor jame think slight upon ani account sure make veri good servant civil pretti spoken girl great opinion whenev see alway curtsey ask veri pretti manner needlework observ alway turn lock door right way never bang sure excel servant great comfort poor miss taylor somebodi use see whenev jame goe see hi daughter know hear us abl tell emma spare exert maintain thi happier flow idea hope help backgammon get father toler even attack regret '' ]
austen,backgammon tabl wa place visitor immedi afterward walk made unnecessari mr knightley sensibl man seven eight thirti wa onli veri old intim friend famili particularli connect elder brother isabella husband live mile highburi wa frequent visitor alway welcom thi time welcom usual come directli mutual connexion london return late dinner day absenc walk hartfield say well brunswick squar wa happi circumst anim mr woodhous time mr knightley cheer manner alway good hi mani inquiri poor isabella children answer satisfactorili ]
austen,thi wa mr woodhous grate observ veri kind mr knightley come thi late hour call upon us afraid must shock walk sir beauti moonlight night mild must draw back great fire '' `` must found veri damp dirti wish may catch cold '' '' '' ]
austen,dirti sir look shoe speck `` well quit surpris vast deal rain rain dread hard half hour breakfast '' ]
austen,want put wed bye wish joy pretti well awar sort joy must feel hurri congratul hope went toler well behav cri '' `` ah '' ]
austen,poor miss taylor ti sad busi poor mr miss woodhous pleas possibl say poor miss taylor great regard emma come question depend independ ani rate must better onli one pleas two `` especi two fanci troublesom creatur '' '' said emma play '' '
austen,"head know would certainli say father believ veri true dear inde said mr woodhous sigh afraid sometim veri fanci troublesom '' '' `` dearest papa think could mean , suppos mr knightley mean horribl idea '' ]"
austen,oh meant onli mr knightley love find fault know joke joke alway say like one anoth mr knightley fact wa one peopl could see fault emma woodhous onli one ever told though thi wa particularli agreeabl emma knew would much less father would realli suspect circumst thought perfect everi bodi emma know never flatter said mr knightley `` '' meant reflect ani bodi '' ]
austen,miss taylor ha use two person pleas one chanc must gainer well said emma let pass want hear wed shall happi tell behav charmingli everi bodi wa punctual everi bodi best look tear hardli long face seen oh felt go onli half mile apart sure meet everi day '' '' `` dear emma bear everi thing well said father '' ]
austen,"mr knightley realli veri sorri lose poor miss taylor sure miss think emma turn away head divid tear smile imposs emma miss companion said mr knightley like well sir could suppos know much marriag miss taylor advantag know veri accept must miss taylor time life settl home import secur comfort provis therefor allow feel much pain pleasur everi friend miss taylor must glad happili marri `` `` forgotten one matter joy said emma , `` '' veri consider one made match '' ]"
austen,made match know four year ago take place prove right mani peopl said mr weston would never marri may comfort ani thing mr knightley shook hi head father fondli repli ah dear wish would make match foretel thing whatev say alway come pass pray make ani match '' '' `` promis make none papa must inde peopl '' ]
austen,greatest amus world success know everi bodi said mr weston would never marri oh dear mr weston widow long seem perfectli comfort without wife constantli occupi either hi busi town among hi friend alway accept wherev went alway cheer mr weston need spend singl even year alon like oh mr weston certainli would never marri
austen,peopl even talk promis hi wife deathb son uncl let manner solemn nonsens wa talk subject believ none ever sinc day four year ago miss taylor met broadway lane becaus began drizzl dart away much gallantri borrow two umbrella us farmer mitchel made mind subject plan match hour success ha bless thi instanc dear papa think shall leav match make understand mean success '\ '' said mr knightley `` '' success suppos endeavour '' ]
austen,time ha properli delic spent endeavour last four year bring thi marriag worthi employ young ladi mind rather imagin make match call mean onli plan say one idl day ` think would veri good thing miss taylor mr weston marri say everi afterward whi talk success merit proud made lucki guess said '' '
austen,"never known pleasur triumph lucki guess piti thought clever depend upon lucki guess never mere luck alway talent poor word success quarrel know entir without ani claim drawn two pretti pictur think may third someth noth promot mr weston visit given mani littl encourag smooth mani littl matter , might come ani thing think must know hartfield enough comprehend '' '"
austen,straightforward open heart man like weston ration unaffect woman like miss taylor may safe left manag concern like done harm good interfer emma never think good rejoin mr woodhous understand part dear pray make ani match silli thing break one famili circl grievous '' '' `` onli one papa onli mr elton poor mr elton '' '
austen,like mr elton papa must look wife nobodi highburi deserv ha whole year ha fit hi hous comfort would shame singl ani longer -- thought wa join hand day look veri much would like kind offic done think veri well mr elton thi onli way servic mr elton veri pretti young man sure veri good young man great regard want shew ani attent dear ask come dine us day much better thing '' ]
austen,dare say mr knightley kind meet great deal pleasur sir ani time said mr knightley laugh `` agre entir much better thing invit dinner emma help best fish chicken leav chuse hi wife depend upon man six seven twenti take care '' chapter ii mr weston wa nativ highburi born respect famili last two three gener rise gentil properti '' ]
austen,receiv good educ succeed earli life small independ becom indispos ani home pursuit hi brother engag satisfi activ cheer mind social temper enter militia hi counti embodi captain weston wa gener favourit chanc hi militari life introduc miss churchil great yorkshir famili miss churchil fell love nobodi wa surpriz except brother hi wife never seen full pride import connexion would offend miss churchil howev age full command fortun though fortun bore proport famili estat wa dissuad marriag took place infinit mortif mr mr churchil threw due decorum wa unsuit connexion produc much happi mr weston ought found husband whose warm heart sweet temper made think everi thing due return great good love though one sort spirit best resolut enough pursu spite brother enough refrain unreason regret brother unreason anger miss luxuri former home
austen,live beyond incom still wa noth comparison enscomb ceas love husband want onc wife captain weston miss churchil enscomb captain weston consid especi churchil make amaz match wa prove much worst bargain hi wife die three year marriag wa rather poorer man first child maintain expens child howev wa soon reliev boy addit soften claim linger ill hi mother mean sort reconcili mr mr churchil children ani young creatur equal kindr care offer take whole charg littl frank soon deceas scrupl reluct widow father may suppos felt overcom consider child wa given care wealth churchil onli hi comfort seek hi situat improv could complet chang life becam desir
austen,quit militia engag trade brother alreadi establish good way london afford favour open wa concern brought employ enough still small hous highburi hi leisur day spent use occup pleasur societi next eighteen twenti year hi life pass cheer away time realis easi compet enough secur purchas littl estat adjoin highburi alway long enough marri woman portionless even miss taylor live accord wish hi friendli social disposit wa time sinc miss taylor begun influenc hi scheme wa tyrann influenc youth youth shaken hi determin never settl till could purchas randal sale randal wa long look forward gone steadili object view till accomplish made hi fortun bought hi hous obtain hi wife wa begin new period exist everi probabl greater happi ani yet pass
austen,never unhappi man hi temper secur even hi first marriag hi second must shew delight well judg truli amiabl woman could must give pleasantest proof great deal better choos chosen excit gratitud feel onli pleas hi choic hi fortun wa hi frank wa tacitli brought hi uncl heir becom avow adopt assum name churchil come age wa unlik therefor ever want hi father assist hi father apprehens aunt wa caprici woman govern husband entir wa mr weston natur imagin ani capric could strong enough affect one dear believ deservedli dear saw hi son everi year london wa proud hi fond report veri fine young man made highburi feel sort pride
austen,wa look suffici belong place make hi merit prospect kind common concern mr frank churchil wa one boast highburi live curios see prevail though compliment wa littl return never hi life hi come visit hi father often talk never achiev upon hi father marriag wa veri gener propos proper attent visit take place wa dissenti voic subject either mr perri drank tea mr miss bate mr miss bate return visit wa time mr frank churchil come among hope strengthen wa understood written hi new mother occas
austen,day everi morn visit highburi includ mention handsom letter mr weston receiv suppos heard handsom letter mr frank churchil ha written mr weston understand wa veri handsom letter inde mr woodhous told mr woodhous saw letter say never saw handsom letter hi life '' wa inde highli prize letter '' ]
austen,mr weston cours form veri favour idea young man pleas attent wa irresist proof hi great good sens welcom addit everi sourc everi express congratul marriag alreadi secur felt fortun woman live long enough know fortun might well thought onli regret wa partial separ friend whose friendship never cool could ill bear part knew time must miss could think without pain emma lose singl pleasur suffer hour ennui want companion dear emma wa feebl charact wa equal situat girl would sens energi spirit might hope would bear well happili littl difficulti privat wa comfort veri easi distanc randal hartfield conveni even solitari femal walk mr weston disposit circumst would make approach season hindranc spend half even week togeth situat wa altogeth subject hour gratitud mr weston moment onli regret satisfact satisfact cheer enjoy wa appar emma well knew father wa sometim taken surpriz hi still abl piti poor miss taylor left randal centr everi domest comfort saw go away even attend pleasant husband carriag never go without mr woodhous give gentl sigh say `` ah poor miss taylor '
austen,would veri glad stay wa recov miss taylor much likelihood ceas piti week brought allevi mr woodhous compliment hi neighbour wa longer teas wish joy sorrow event wed cake great distress wa eat hi stomach could bear noth rich could never believ peopl differ wa unwholesom regard unfit ani bodi therefor earnestli tri dissuad ani wed cake prove vain earnestli tri prevent ani bodi eat pain consult mr perri apothecari subject '' ]
austen,mr perri wa intellig gentlemanlik man whose frequent visit one comfort mr woodhous life upon appli could acknowledg though seem rather bia inclin wed cake might certainli disagre mani perhap peopl unless taken moder opinion confirm hi mr woodhous hope influenc everi visitor newli marri pair still cake wa eaten wa rest hi benevol nerv till wa gone wa strang rumour highburi littl perri seen slice mr weston wed cake hand mr woodhous would never believ chapter iii mr woodhous wa fond societi hi way like veri much hi friend come see variou unit caus hi long resid hartfield hi good natur hi fortun hi hous hi daughter could command visit hi littl circl great measur like
austen,much intercours ani famili beyond circl hi horror late hour larg dinner parti made unfit ani acquaint would visit hi term fortun highburi includ randal parish donwel abbey parish adjoin seat mr knightley comprehend mani unfrequ emma persuas chosen best dine even parti prefer unless fanci ani time unequ compani wa scarc even week emma could make card tabl real long stand regard brought weston mr knightley mr elton young man live alon without like privileg exchang ani vacant even hi blank solitud eleg societi mr woodhous draw room smile hi love daughter wa danger thrown away came second set among come abl mr miss bate mr goddard three ladi almost alway servic invit hartfield fetch carri home often mr woodhous thought hardship either jame hors taken place onli onc year would grievanc
austen,mr bate widow former vicar highburi wa veri old ladi almost past everi thing tea quadril live singl daughter veri small way wa consid regard respect harmless old ladi untoward circumst excit daughter enjoy uncommon degre popular woman neither young handsom rich marri miss bate stood veri worst predica world much public favour intellectu superior make aton frighten might hate outward respect never boast either beauti clever youth pass without distinct middl life wa devot care fail mother endeavour make small incom go far possibl
austen,yet wa happi woman woman one name without good wa univers good content temper work wonder love everi bodi wa interest everi bodi happi quicksight everi bodi merit thought fortun creatur surround bless excel mother mani good neighbour friend home want noth simplic cheer natur content grate spirit recommend everi bodi mine felic wa great talker upon littl matter exactli suit mr woodhous full trivial commun harmless gossip mr goddard wa mistress school seminari establish ani thing profess long sentenc refin nonsens combin liber acquir eleg moral upon new principl new system young ladi enorm pay might screw health vaniti real honest old fashion board school reason quantiti accomplish sold reason price girl might sent way scrambl themselv littl educ without ani danger come back prodigi
austen,mr goddard school wa high reput veri deservedli highburi wa reckon particularli healthi spot ampl hous garden gave children plenti wholesom food let run great deal summer winter dress chilblain hand wa wonder train twenti young coupl walk church wa plain motherli kind woman work hard youth thought entitl occasion holiday tea visit formerli owe much mr woodhous kind felt hi particular claim leav neat parlour hung round fanci work whenev could win lose sixpenc hi firesid ladi emma found veri frequent abl collect happi wa father sake power though far wa concern wa remedi absenc mr weston wa delight see father look comfort veri much pleas contriv thing well quiet prose three women made feel everi even spent wa inde one long even fear anticip sat one morn look forward exactli close present day note wa brought mr goddard request respect term allow bring miss smith welcom request miss smith wa girl seventeen emma knew veri well sight long felt interest account beauti
austen,veri graciou invit wa return even longer dread fair mistress mansion harriet smith wa natur daughter somebodi somebodi place sever year back mr goddard school somebodi late rais condit scholar parlour boarder thi wa wa gener known histori visibl friend acquir highburi wa return long visit countri young ladi school wa veri pretti girl beauti happen sort emma particularli admir
austen,wa short plump fair fine bloom blue eye light hair regular featur look great sweet befor end even emma wa much pleas manner person quit determin continu acquaint wa struck ani thing remark clever miss smith convers found altogeth veri engag inconveni shi unwil talk yet far push shew proper becom defer seem pleasantli grate admit hartfield artlessli impress appear everi thing superior style use must good sens deserv encourag encourag given soft blue eye natur grace wast inferior societi highburi connexion acquaint alreadi form unworthi friend part though veri good sort peopl must harm
austen,famili name martin emma well knew charact rent larg farm mr knightley resid parish donwel veri credit believ knew mr knightley thought highli must coars unpolish veri unfit intim girl want onli littl knowledg eleg quit perfect would notic would improv would detach bad acquaint introduc good societi would form opinion manner would interest certainli veri kind undertak highli becom situat life leisur power wa busi admir soft blue eye talk listen form scheme even flew away veri unusu rate supper tabl alway close parti use sit watch due time wa set readi move forward fire befor wa awar alacr beyond common impuls spirit yet wa never indiffer credit everi thing well attent real good mind delight idea honour meal help recommend minc chicken scallop oyster urgenc knew would accept earli hour civil scrupl guest upon occas poor mr woodhous feel sad warfar
austen,love cloth laid becaus fashion hi youth hi convict supper veri unwholesom made rather sorri see ani thing put hi hospit would welcom hi visitor everi thing hi care health made griev would eat anoth small basin thin gruel hi wa could thorough self approb recommend though might constrain ladi comfort clear nicer thing say mr bate let propos ventur one egg egg boil veri soft unwholesom serl understand boil egg better ani bodi would recommend egg boil ani bodi els need afraid veri small see one small egg hurt '' ]
austen,miss bate let emma help bit tart littl bit appl tart need afraid unwholesom preserv advis custard mr goddard say glass wine half glass put tumbler water
austen,think could disagre emma allow father talk suppli visitor much satisfactori style present even particular pleasur send away happi happi miss smith wa quit equal intent miss woodhous wa great personag highburi prospect introduct given much panic pleasur humbl grate littl girl went highli gratifi feel delight affabl miss woodhous treat even actual shaken hand last chapter iv harriet smith intimaci hartfield wa soon settl thing '' '
austen,quick decid way emma lost time invit encourag tell come veri often acquaint increas satisfact walk companion emma veri earli foreseen use might find respect mr weston loss import father never went beyond shrubberi two divis ground suffic hi long walk hi short year vari sinc mr weston marriag exercis much confin ventur onc alon randal wa pleasant harriet smith therefor one could summon ani time walk would valuabl addit privileg everi respect saw approv wa confirm kind design
austen,harriet certainli wa clever sweet docil grate disposit wa total free conceit onli desir guid ani one look earli attach wa veri amiabl inclin good compani power appreci wa eleg clever shew wa want tast though strength understand must expect altogeth wa quit convinc harriet smith exactli young friend want exactli someth home requir friend mr weston wa question two could never grant two want
austen,wa quit differ sort thing sentiment distinct independ mr weston wa object regard basi gratitud esteem harriet would love one could use mr weston wa noth done harriet everi thing first attempt use endeavour find parent harriet could tell wa readi tell everi thing power thi subject question vain
austen,emma wa oblig fanci like could never believ situat discov truth harriet penetr satisfi hear believ mr goddard chose tell look farther mr goddard teacher girl affair school gener form natur great part convers acquaint martin abbey mill farm must whole martin occupi thought good deal spent two veri happi month love talk pleasur visit describ mani comfort wonder place emma encourag talk amus pictur anoth set enjoy youth simplic could speak much exult mr martin _two_ parlour two veri good parlour inde one quit larg mr goddard draw room upper maid live five twenti year eight cow two alderney one littl welch cow veri pretti littl welch cow inde mr martin say wa fond call cow veri handsom summer hous garden day next year drink tea veri handsom summer hous larg enough hold dozen peopl '' '
austen,time wa amus without think beyond immedi caus came understand famili better feel aros taken wrong idea fanci wa mother daughter son son wife live togeth appear mr martin bore part narr wa alway mention approb hi great good natur someth wa singl man wa young mr martin wife case suspect danger poor littl friend thi hospit kind taken care might requir sink forev thi inspirit notion question increas number mean particularli led harriet talk mr martin wa evid dislik harriet wa veri readi speak share moonlight walk merri even game dwelt good deal upon hi veri good humour oblig gone three mile round one day order bring walnut becaus said fond wa everi thing els wa veri oblig hi shepherd son parlour one night purpos sing
austen,wa veri fond sing could sing littl believ wa veri clever understood everi thing veri fine flock wa bid hi wool ani bodi countri believ everi bodi spoke well hi mother sister veri fond
austen,mr martin told one day wa blush said ) wa imposs ani bodi better son therefor wa sure whenev marri would make good husband marri wa hurri well done mr martin '' thought emma '' ]
austen,know come away mr martin wa veri kind send mr goddard beauti goos finest goos mr goddard ever seen mr goddard dress sunday ask three teacher miss nash miss princ miss richardson sup mr martin suppos man inform beyond line hi busi doe read '' '' `` `` oh ye know believ ha read good deal would think ani thing '' ]
austen,read agricultur report book lay one window seat read sometim even befor went card would read someth aloud eleg extract veri entertain know ha read vicar wakefield never read romanc forest children abbey never heard book befor mention determin get soon ever '' next question wa ''
austen,sort look man mr martin `` oh handsom handsom thought veri plain first think plain one doe know time '' ]
austen,never see highburi everi sure ride everi week hi way kingston ha pass veri often may may seen fifti time without ani idea hi name young farmer whether horseback foot veri last sort person rais curios yeomanri precis order peopl feel noth '' ]
austen,degre two lower credit appear might interest might hope use famili way farmer need none help therefor one sens much abov notic everi sure oh ye like ever observ know veri well inde mean sight '' `` doubt hi veri respect young man '' ]
austen,know inde wish well imagin hi age wa four twenti last june birthday fortnight day differ veri odd '' `` onli four twenti young settl hi mother perfectli right hurri '' '
austen,seem veri comfort take ani pain marri would probabl repent six year henc could meet good sort young woman rank hi littl money might veri desir six year henc dear miss woodhous would thirti year old '' `` well earli men afford marri born independ mr martin imagin ha hi fortun entir make beforehand world '' ]
austen,whatev money might come hi father die whatev hi share famili properti dare say afloat employ hi stock forth though dilig good luck may rich time next imposs realis ani thing yet sure live veri comfort indoor man els want ani thing mr martin talk take boy anoth year '' `` wish may get scrape harriet whenev doe marri mean acquaint hi wife though hi sister superior educ altogeth object doe follow might marri ani bodi fit notic misfortun birth ought make particularli care associ '' ]
austen,"doubt gentleman daughter must support claim station everi thing within power plenti peopl would take pleasur degrad ye sure suppos visit hartfield kind miss woodhous afraid ani bodi understand forc influenc pretti well harriet would firmli establish good societi independ even hartfield miss woodhous want see perman well connect end advis odd acquaint may therefor say still thi countri mr martin marri wish may drawn intimaci sister acquaint wife probabl mere farmer daughter , without educ '' '' `` sure '' '"
austen,ye think mr martin would ever marri ani bodi educ veri well brought howev mean set opinion sure shall wish acquaint hi wife shall alway great regard miss martin especi elizabeth veri sorri give quit well educ marri veri ignor vulgar woman certainli better visit help emma watch fluctuat thi speech saw alarm symptom love '' ]
austen,young man first admir trust wa hold would seriou difficulti harriet side oppos ani friendli arrang met mr martin veri next day walk donwel road wa foot look veri respect look unfeign satisfact companion emma wa sorri opportun survey walk yard forward talk togeth soon made quick eye suffici acquaint mr robert martin hi appear wa veri neat look like sensibl young man hi person advantag came contrast gentlemen thought must lose ground gain harriet inclin harriet wa insens manner voluntarili notic father gentl admir well wonder
austen,mr martin look know manner wa remain minut togeth miss woodhous must kept wait harriet came run smile face flutter spirit miss woodhous hope veri soon compos onli think happen meet veri odd wa quit chanc said gone round randal think ever walk thi road thought walk toward randal day '' ]
austen,ha abl get romanc forest yet wa busi last time wa kingston quit forgot goe morrow veri odd happen meet well miss woodhous like expect think think veri plain '' ]
austen,veri plain undoubtedli remark plain noth compar hi entir want gentil right expect much expect much idea could veri clownish total without air imagin confess degre two nearer gentil sure said harriet mortifi voic genteel real gentlemen '' `` `` think harriet sinc acquaint us repeatedli compani veri real gentlemen must struck differ mr martin hartfield veri good specimen well educ well bred men '' ]
austen,surpriz see could compani mr martin without perceiv veri inferior creatur rather wonder ever thought agreeabl befor begin feel struck sure must struck hi awkward look abrupt manner uncouth voic heard wholli unmodul stood certainli like mr knightley ha fine air way walk mr knightley '' ]
austen,see differ plain enough mr knightley veri fine man mr knightley air remark good fair compar mr martin might see one hundr plainli written mr knightley onli gentleman late use say mr weston mr elton '' '
austen,compar mr martin either compar manner carri themselv walk speak silent must see differ oh ye great differ mr weston almost old man mr weston must forti fifti '' '' ]
austen,make hi good manner valuabl older person grow harriet import manner bad glare disgust ani loud coars awkward becom passabl youth detest later age mr martin awkward abrupt mr weston time life say inde repli harriet rather solemnli `` '' may pretti good guess '' '
austen,complet gross vulgar farmer total inattent appear think noth profit loss inde veri bad '' `` much hi busi engross alreadi veri plain circumst hi forget inquir book recommend wa great deal full market think ani thing els thrive man ha book '' ]
austen,doubt thrive veri rich man time hi illiter coars need disturb wonder rememb book wa harriet answer spoken degre grave displeasur emma thought might safe left therefor said time next begin wa `` '' one respect perhap mr elton manner superior mr knightley mr weston gentl '' '
austen,"might safe held pattern open quick almost blunt mr weston everi bodi like becaus much good humour would copi neither would mr knightley downright decid command sort manner though suit veri well hi figur look situat life seem allow ani young man set copi would suffer contrari think young man might veri safe recommend take mr elton model mr elton good humour cheer oblig , gentl seem grown particularli gentl late"
austen,know whether ha ani design ingrati either us harriet addit soft strike hi manner softer use mean ani thing must pleas tell said day repeat warm person prais drawn mr elton full justic harriet blush smile said alway thought mr elton veri agreeabl mr elton wa veri person fix emma drive young farmer harriet head thought would excel match onli palpabl desir natur probabl much merit plan '' ]
austen,fear wa everi bodi els must think predict wa like howev ani bodi equal date plan enter brain dure veri first even harriet come hartfield longer consid greater wa sens expedi mr elton situat wa suitabl quit gentleman without low connexion time ani famili could fairli object doubt birth harriet comfort home emma imagin veri suffici incom though vicarag highburi wa larg wa known independ properti thought veri highli good humour well mean respect young man without ani defici use understand knowledg world alreadi satisfi thought harriet beauti girl trust frequent meet hartfield wa foundat enough hi side harriet could littl doubt idea prefer would usual weight efficaci
austen,wa realli veri pleas young man young man ani woman fastidi might like wa reckon veri handsom hi person much admir gener though want eleg featur could dispens girl could gratifi robert martin ride countri get walnut might veri well conquer mr elton admir chapter v know opinion may mr weston said mr knightley thi great intimaci emma harriet smith ' think bad thing `` bad thing realli think bad thing whi '' '' '' '
austen,think neither ani good `` surpriz emma must harriet good suppli new object interest harriet may said emma good see intimaci greatest pleasur veri differ feel think ani good thi certainli begin one quarrel emma mr '' ]
austen,knightley perhap think come purpos quarrel know weston must still fight battl '' `` mr weston would undoubtedli support think exactli subject speak onli yesterday agre fortun wa emma girl highburi associ mr knightley shall allow fair judg thi case much use live alon know valu companion perhap man good judg comfort woman feel societi one sex use life '' ]
austen,imagin object harriet smith superior young woman emma friend ought hand emma want see better inform induc read read togeth mean know emma ha mean read ever sinc wa twelv year old '' '
austen,seen great mani list draw variou time book meant read regularli veri good list veri well chosen veri neatli arrang sometim alphabet sometim rule list drew onli fourteen rememb think judgment much credit preserv time dare say may made veri good list done expect ani cours steadi read emma never submit ani thing requir industri patienc subject fanci understand miss taylor fail stimul may safe affirm harriet smith noth never could persuad read half much wish know could dare say repli mr weston smile `` thought -- sinc part never rememb emma omit ani thing wish '' '' '
austen,"hardli ani desir refresh memori said mr knightley feelingli moment two done soon ad `` '' charm thrown sens must still see hear rememb emma spoil cleverest famili ten year old misfortun abl answer question puzzl sister seventeen wa alway quick assur isabella slow diffid ever sinc wa twelv , emma ha mistress hous '' ]"
austen,mother lost onli person abl cope inherit mother talent must subject sorri mr knightley depend recommend quit mr woodhous famili want anoth situat think would spoken good word ani bodi sure alway thought unfit offic held '' ye said smile `` '' better place veri fit wife ' gover '' '
austen,"prepar excel wife time hartfield might give emma complet educ power would seem promis receiv veri good educ veri materi matrimoni point submit bid weston ask recommend wife certainli name miss taylor thank veri littl merit make good wife man mr weston '' `` whi truth afraid rather thrown away everi disposit bear , noth born '' ]"
austen,despair howev weston may grow cross wanton comfort hi son may plagu hope -- like mr knightley foretel vexat quarter '' `` inde onli name possibl '' ]
austen,pretend emma geniu foretel guess hope heart young man may weston merit churchil fortun harriet smith half done harriet smith think veri worst sort companion emma could possibl know noth look upon emma know everi thing flatter way much wors becaus undesign ignor hourli flatteri
austen,emma imagin ha ani thing learn harriet present delight inferior harriet ventur say gain acquaint hartfield onli put conceit place belong grow refin enough uncomfort among birth circumst place home much mistaken emma doctrin give ani strength mind tend make girl adapt ration varieti situat life onli give littl polish either depend upon emma good sens anxiou present comfort lament acquaint '' '
austen,well look last night oh would rather talk person mind would veri well shall attempt deni emma pretti '' `` pretti say beauti rather '' '
austen,imagin ani thing nearer perfect beauti emma altogeth face figur know could imagin confess seldom seen face figur pleas partial old friend '' `` eye true hazl eye brilliant regular featur open counten complexion oh '' ]
austen,bloom full health pretti height size firm upright figur health mere bloom air head glanc one hear sometim child pictur health emma alway give idea complet pictur grown health loveli mr knightley fault find person repli '' '
austen,"think describ love look add thi prais think person vain consid veri handsom appear littl occupi vaniti lie anoth way mr weston talk dislik harriet smith dread harm mr knightley equal stout confid ani harm dear emma littl fault `` , excel creatur '' ]"
austen,shall see better daughter kinder sister truer friend ha qualiti may trust never lead ani one realli wrong make last blunder emma err onc right hundr time veri well plagu ani emma shall angel keep spleen till christma bring john isabella john love emma reason therefor blind affect isabella alway think doe except quit frighten enough children sure opinion '' '' ]
austen,know love realli well unjust unkind excus mr knightley take liberti consid know somewhat privileg speech emma mother might liberti hint think ani possibl good aris harriet smith intimaci made matter much discuss among pray excus suppos ani littl inconveni may apprehend intimaci expect emma account nobodi father perfectli approv acquaint put end long sourc pleasur ha mani year provinc give advic surpriz mr knightley thi littl remain offic cri much oblig veri good advic shall better fate advic ha often found shall attend '' `` mr john knightley easili alarm might made unhappi sister '' '' '' ]
austen,satisfi said `` rais ani outcri keep ill humour veri sincer interest emma isabella doe seem sister ha never excit greater interest perhap hardli great anxieti curios one feel emma wonder becom '' '' ]
austen,said mr weston gentli veri much `` `` alway declar never marri cours mean noth idea ha yet ever seen man care would bad thing veri much love proper object like see emma love doubt return would good nobodi hereabout attach goe seldom home '' '' ]
austen,"doe inde seem littl tempt break resolut present said mr weston well happi hartfield wish form ani attach would creat difficulti poor mr woodhous account recommend matrimoni present emma though mean slight state assur part mean wa conceal favourit thought mr weston subject much possibl wish randal respect emma destini , wa desir suspect quiet transit mr knightley soon afterward made '' doe weston think weather shall rain '' '' convinc noth say surmis hartfield chapter vi '' '"
austen,emma could feel doubt given harriet fanci proper direct rais gratitud young vaniti veri good purpos found decidedli sensibl befor mr elton remark handsom man agreeabl manner hesit follow assur hi admir agreeabl hint wa soon pretti confid creat much like harriet side could ani occas wa quit convinc mr elton fairest way fall love love alreadi scrupl regard talk harriet prais warmli could suppos ani thing want littl time would add hi percept strike improv harriet manner sinc introduct hartfield wa one least agreeabl proof hi grow attach given miss smith requir said '' made grace easi '' '
