Date,Time,CO,Benzene,NO2,Temperature,Humidity(%),Traffic_Volume,Particulate_Matter
2004-09-10,17:00:00,3.7,19.9,110,28.7,45.1,,
2005-01-21,20:00:00,4.9,38.1,244,10.4,64.4,,
2004-05-19,7:00:00,3.1,20.9,94,16.4,53.4,110.21023000000001,63.48842474
2004-04-12,9:00:00,2.5,9.6,102,12.2,83.9,,
2004-07-17,21:00:00,1.9,8.7,106,29.7,24.2,,
2004-03-24,10:00:00,3.4,14.2,113,12.1,54.9,87.94107875,104.7241105
2004-07-22,3:00:00,0.9,4.8,-200,25.2,51.4,,
2004-04-17,6:00:00,-200.0,5.1,-200,12.6,79.9,186.67129219999998,220.82965269999997
2005-03-02,13:00:00,2.7,13.8,241,12.2,34.3,,
2004-05-14,0:00:00,2.5,15.0,107,17.3,57.8,129.0837369,65.56699743
2004-10-25,18:00:00,8.4,44.5,149,21.0,64.9,,
2004-06-23,18:00:00,3.9,21.6,152,31.3,27.3,,
2004-12-21,12:00:00,1.7,6.7,135,7.8,36.8,,
2004-11-20,10:00:00,2.9,17.1,243,11.9,27.9,,
2005-07-02,7:00:00,0.8,2.4,133,3.4,47.0,,
2004-10-29,0:00:00,1.0,4.3,65,19.9,64.9,,
2004-04-26,20:00:00,2.6,9.3,109,17.3,38.8,181.291775,203.428954
2005-03-22,21:00:00,4.3,11.0,141,17.4,50.6,,
2004-10-31,7:00:00,0.4,1.4,30,20.4,71.2,,
2004-07-25,0:00:00,1.7,7.9,83,23.7,69.3,,
2004-09-29,10:00:00,3.8,21.4,174,22.4,38.8,,
2005-03-26,10:00:00,2.3,10.6,115,18.4,60.2,,
2004-05-20,19:00:00,4.4,22.1,172,25.7,27.9,121.5068115,70.41302185
2004-07-16,17:00:00,3.3,18.2,187,37.3,17.3,,
2004-04-12,12:00:00,2.6,10.6,122,13.0,77.8,,
2005-03-19,0:00:00,2.2,6.8,163,11.8,68.3,,
2004-03-06,3:00:00,-200.0,1.3,-200,18.1,64.6,,
2004-11-12,21:00:00,2.9,11.6,138,13.3,38.7,,
2004-07-28,11:00:00,-200.0,10.4,91,34.2,15.8,,
2004-05-10,9:00:00,-200.0,21.6,-200,20.6,58.5,,
2004-03-28,18:00:00,1.4,4.7,86,15.6,35.0,81.3213365,120.55051509999998
2004-04-05,21:00:00,3.0,11.8,110,16.6,70.8,60.96031864,169.42417980000002
2004-02-09,3:00:00,0.6,3.1,-200,22.7,51.3,,
2004-07-17,10:00:00,2.2,12.9,138,30.9,26.9,,
2005-01-18,1:00:00,1.4,5.0,131,3.0,60.2,,
2004-11-04,0:00:00,1.4,5.1,84,11.2,56.2,134.0497115,165.2812496
2004-09-21,12:00:00,3.3,17.7,157,30.1,35.1,,
2004-07-21,21:00:00,2.9,15.3,120,31.2,33.2,,
2004-05-06,13:00:00,1.4,8.4,72,30.3,25.2,,
2004-10-07,5:00:00,0.4,4.0,45,21.7,52.0,,
2005-02-28,11:00:00,0.9,2.0,123,3.1,43.3,,
2004-10-11,11:00:00,1.3,4.4,150,6.8,87.1,,
2004-08-21,19:00:00,-200.0,8.9,-200,25.4,36.2,,
2004-07-14,22:00:00,1.9,11.2,123,26.3,27.3,,
2004-11-14,18:00:00,1.4,4.7,78,7.3,63.5,,
2005-04-03,13:00:00,3.4,16.4,189,10.9,52.4,,
2004-08-20,16:00:00,-200.0,4.8,-200,36.8,30.5,,
2005-07-02,5:00:00,0.6,1.0,73,3.3,44.6,,
2005-05-01,0:00:00,1.7,-200.0,129,-200.0,-200.0,,
2005-03-23,15:00:00,2.4,11.7,153,23.1,22.8,,
2005-03-23,1:00:00,2.4,3.5,110,15.6,61.6,,
2004-04-15,16:00:00,3.1,14.0,129,19.6,34.6,153.38679150000002,140.59147980000003
2004-04-19,11:00:00,-200.0,7.5,-200,18.5,45.5,176.34222659999998,201.1432361
2004-10-28,4:00:00,-200.0,3.8,41,14.6,79.9,,
2004-09-26,2:00:00,1.4,7.8,90,15.6,51.9,,
2004-01-06,16:00:00,2.5,17.1,95,24.8,47.4,,
2004-06-07,23:00:00,2.4,14.3,110,27.8,29.9,,
2005-02-24,13:00:00,1.7,7.4,195,6.7,76.2,,
2004-05-17,13:00:00,1.7,9.1,88,25.8,19.5,126.3413259,60.62207073
2004-03-14,20:00:00,5.9,23.1,173,17.6,46.1,35.85184141,51.35748733
2004-03-09,19:00:00,4.9,24.5,-200,33.2,30.1,,
2004-05-29,6:00:00,0.1,2.0,45,17.9,46.1,,
2004-05-31,6:00:00,0.5,6.5,60,16.6,52.1,,
2004-04-22,4:00:00,-200.0,1.7,-200,13.3,62.6,171.2412405,207.4827545
2004-06-18,11:00:00,2.5,15.6,141,33.3,27.8,,
2004-05-24,3:00:00,-200.0,0.6,-200,15.7,42.3,130.2683629,65.550956
2004-11-17,23:00:00,2.3,7.1,145,9.7,62.5,,
2004-08-28,8:00:00,1.2,7.1,62,20.7,53.3,,
2004-12-25,18:00:00,4.6,17.8,184,11.2,70.8,,
2004-10-10,9:00:00,1.0,5.6,51,24.1,59.0,,
2005-01-15,16:00:00,2.9,11.4,168,12.2,47.0,,
2005-02-16,18:00:00,2.2,9.5,153,7.4,44.5,,
2004-02-11,19:00:00,8.0,44.9,121,21.8,65.3,,
2004-05-26,6:00:00,-200.0,-200.0,-200,-200.0,-200.0,,
2005-03-14,19:00:00,6.5,29.1,234,16.7,43.4,,
2005-01-25,2:00:00,-200.0,0.4,29,5.5,42.4,,
2004-03-11,13:00:00,2.6,13.2,86,26.3,43.6,,
2004-05-08,3:00:00,-200.0,2.3,-200,25.4,54.6,,
2005-11-03,22:00:00,0.8,6.8,165,12.2,50.9,,
2005-05-03,3:00:00,1.5,4.4,-200,4.9,62.6,,
2004-08-14,7:00:00,1.1,6.3,61,24.0,57.2,,
2005-08-01,7:00:00,1.3,4.5,93,8.1,68.0,,
2005-02-15,20:00:00,3.1,14.2,187,8.9,26.9,,
2004-07-30,6:00:00,-200.0,4.9,48,23.0,49.9,,
2004-12-28,10:00:00,-200.0,15.3,-200,10.6,67.9,,
2004-04-07,9:00:00,1.0,6.0,65,25.4,49.3,,
2004-02-10,10:00:00,-200.0,10.5,-200,24.2,51.9,,
2004-05-08,22:00:00,-200.0,5.5,70,23.1,70.1,,
2004-03-30,2:00:00,0.7,1.7,73,10.5,42.9,70.58124173,112.43827959999999
2004-12-25,6:00:00,2.0,8.6,106,8.9,70.5,,
2005-02-04,3:00:00,0.5,1.4,70,11.9,35.6,,
2005-01-22,8:00:00,0.8,15.6,196,6.3,78.8,,
2005-04-02,12:00:00,1.5,7.0,169,15.0,28.5,,
2004-07-24,3:00:00,0.8,6.0,-200,25.8,46.6,,
2005-02-03,10:00:00,2.0,8.3,181,4.6,32.5,,
2004-03-28,2:00:00,1.7,6.3,79,9.3,62.2,80.50067417,105.6495749
2004-09-20,21:00:00,2.1,11.7,118,24.8,33.7,,
2004-01-10,4:00:00,0.6,3.0,54,19.8,67.2,,
2004-10-20,16:00:00,4.7,30.9,167,24.8,57.7,,
2005-11-03,8:00:00,1.5,13.8,141,4.3,58.6,,
2005-02-23,0:00:00,1.5,4.3,142,4.2,78.2,,
2004-09-25,5:00:00,0.3,0.9,14,15.4,53.7,,
2004-09-13,1:00:00,-200.0,4.6,-200,22.8,63.3,,
2004-06-04,23:00:00,1.1,4.8,74,15.7,47.0,124.98695790000001,144.29024109999997
2005-01-13,8:00:00,3.1,16.3,127,8.2,74.9,,
2005-03-16,3:00:00,0.7,2.0,93,10.7,59.6,,
2005-11-01,19:00:00,3.6,19.7,146,13.2,61.8,,
2005-07-02,14:00:00,1.4,5.4,149,12.0,21.9,,
2004-04-17,13:00:00,-200.0,7.5,-200,19.3,47.1,180.3655244,219.5015445
2004-08-10,16:00:00,2.4,15.6,98,28.5,39.4,,
2004-04-17,23:00:00,-200.0,10.7,-200,16.9,54.8,173.3382111,201.7930388
2005-10-02,19:00:00,6.2,-200.0,243,-200.0,-200.0,,
2004-11-22,5:00:00,-200.0,2.3,80,2.6,60.8,,
2005-09-03,19:00:00,5.3,25.3,207,12.8,46.2,,
2004-05-14,15:00:00,2.1,11.4,103,28.4,20.2,122.4029372,67.17899406
2005-01-18,14:00:00,5.2,28.0,240,5.5,69.3,,
2004-11-29,9:00:00,5.9,29.5,139,11.3,75.3,,
2004-06-24,23:00:00,4.1,20.5,126,24.6,45.3,,
2004-05-08,13:00:00,-200.0,8.2,86,38.3,24.5,,
2004-03-11,19:00:00,4.6,24.4,117,23.3,53.1,,
2004-05-13,19:00:00,3.9,21.7,133,19.8,47.9,115.6556112,66.29866662
2004-06-04,13:00:00,2.9,13.6,116,20.4,34.7,153.73117680000001,148.9369246
2004-07-27,1:00:00,-200.0,4.3,40,27.1,38.6,,
2005-01-13,20:00:00,2.9,13.3,129,11.0,67.1,,
2005-02-13,4:00:00,2.8,12.5,140,8.9,81.3,,
2005-02-17,18:00:00,2.4,10.0,177,8.4,45.2,,
2005-09-03,15:00:00,1.9,8.6,121,17.3,34.5,,
2004-04-15,6:00:00,-200.0,7.9,-200,9.1,67.4,124.30445859999999,160.1565099
2004-06-22,15:00:00,1.7,11.2,98,31.8,25.6,,
2004-03-30,5:00:00,0.7,2.3,71,12.9,33.9,79.04064348,111.8679307
2004-08-11,4:00:00,0.2,0.3,13,11.3,49.5,,
2004-07-15,19:00:00,3.8,22.1,175,30.5,22.7,,
2004-05-28,20:00:00,1.8,10.4,119,20.2,47.2,,
2005-01-26,23:00:00,0.2,2.5,90,4.0,56.8,,
2004-11-19,23:00:00,2.6,4.0,110,12.8,14.8,,
2004-10-15,23:00:00,-200.0,4.8,-200,16.3,70.5,,
2004-12-14,2:00:00,1.9,8.2,97,6.9,76.1,,
2005-01-24,4:00:00,-200.0,1.0,48,5.8,59.5,,
2004-11-30,13:00:00,1.9,9.4,103,14.9,59.9,,
2004-09-06,23:00:00,1.5,8.7,84,25.4,40.1,,
2004-11-04,10:00:00,1.6,6.2,77,17.4,35.4,139.849486,141.4970689
2004-09-05,5:00:00,-200.0,8.1,-200,11.9,71.1,119.57501629999999,67.24075954
2004-06-07,19:00:00,3.9,21.1,155,34.2,17.9,,
2004-03-13,19:00:00,4.2,19.6,165,15.8,42.4,28.90510404,51.98995406
2004-05-10,15:00:00,-200.0,14.6,-200,28.5,37.3,,
2004-10-29,16:00:00,2.7,13.9,118,20.1,75.4,,
2005-01-22,15:00:00,0.1,7.0,133,15.8,33.8,,
2005-10-01,2:00:00,1.2,3.9,96,13.2,69.9,,
2005-02-25,12:00:00,1.7,6.6,153,13.0,40.3,,
2004-09-13,15:00:00,2.0,11.3,208,32.6,31.8,,
2005-02-23,11:00:00,1.3,3.6,180,2.8,83.9,,
2004-07-19,16:00:00,-200.0,11.0,126,40.5,14.9,,
2004-12-13,1:00:00,2.0,5.9,102,7.9,59.2,,
2005-03-17,21:00:00,4.9,18.4,240,16.1,38.7,,
2004-10-04,17:00:00,1.7,7.4,104,21.1,24.5,130.9939326,161.16306809999998
2004-07-26,9:00:00,-200.0,7.2,98,28.8,38.9,,
2004-10-29,4:00:00,-200.0,2.7,56,18.2,76.6,,
2005-05-02,14:00:00,1.1,3.7,129,9.3,33.1,,
2005-03-04,12:00:00,1.4,5.3,124,26.5,16.4,,
2004-03-13,3:00:00,1.7,5.4,-200,7.8,67.5,32.88292008,56.7784956
2004-07-28,17:00:00,-200.0,17.3,166,34.4,16.4,,
2004-01-06,23:00:00,2.2,13.1,81,20.2,65.2,,
2004-10-17,2:00:00,-200.0,3.8,-200,15.4,78.1,,
2004-06-19,22:00:00,1.7,-200.0,95,-200.0,-200.0,,
2004-08-26,22:00:00,1.1,-200.0,71,-200.0,-200.0,,
2005-04-03,7:00:00,1.9,7.5,139,3.1,77.3,,
2004-07-19,3:00:00,-200.0,2.3,-200,23.7,38.6,,
2004-08-20,10:00:00,-200.0,7.8,-200,32.2,41.4,,
2004-10-10,13:00:00,1.6,5.9,73,21.0,76.8,,
2004-01-11,3:00:00,3.0,16.0,-200,19.1,75.8,,
2004-10-28,8:00:00,4.4,25.8,102,16.0,76.4,,
2004-11-20,23:00:00,0.7,7.2,133,6.1,45.2,,
2005-11-01,4:00:00,0.7,2.9,70,11.8,70.6,,
2005-03-02,18:00:00,6.7,32.4,212,12.2,44.8,,
2004-07-19,12:00:00,-200.0,14.3,159,39.1,16.0,,
2004-11-08,11:00:00,1.7,8.3,68,35.1,38.1,,
2004-03-11,9:00:00,3.7,23.8,101,20.3,58.4,,
2004-05-29,4:00:00,-200.0,4.3,59,17.7,51.9,,
2004-09-05,11:00:00,-200.0,4.9,-200,18.8,46.4,118.35332220000001,67.76307845
2004-04-08,8:00:00,-200.0,26.0,-200,28.3,47.6,,
2004-10-20,13:00:00,-200.0,28.0,-200,24.7,56.9,,
2004-04-26,22:00:00,1.5,5.3,89,16.4,40.8,174.9188021,220.3177309
2004-08-19,21:00:00,-200.0,6.4,-200,30.3,47.3,,
2004-09-24,10:00:00,3.4,20.3,138,25.1,49.5,,
2005-07-02,2:00:00,0.8,1.5,78,4.3,38.1,,
2005-04-04,8:00:00,5.0,22.4,174,13.5,48.9,,
2004-10-04,13:00:00,1.5,6.4,88,19.9,26.7,136.6604047,153.36669750000001
2005-03-02,19:00:00,6.4,29.0,249,10.3,52.4,,
2005-08-01,14:00:00,3.6,14.3,175,13.4,55.9,,
2005-06-01,19:00:00,2.8,12.4,169,14.0,60.1,,
2004-04-05,5:00:00,0.6,2.9,47,15.7,80.5,58.40653353,175.855796
2004-03-24,2:00:00,0.9,2.7,61,11.3,60.0,90.13577336,120.41284409999999
2004-11-15,16:00:00,1.7,7.8,121,13.5,31.8,,
2004-12-11,14:00:00,2.3,9.9,125,17.4,57.3,,
2004-10-11,9:00:00,2.0,9.5,149,7.9,73.5,,
2004-11-04,2:00:00,1.0,3.7,68,9.3,64.3,143.6226064,167.88976619999997
2004-07-25,14:00:00,0.7,2.5,44,29.8,38.6,,
2004-11-20,5:00:00,0.6,1.5,70,9.0,23.1,,
2005-03-25,3:00:00,1.0,4.1,101,13.9,80.4,,
2004-08-12,4:00:00,1.7,7.9,75,11.6,72.5,,
2004-06-16,4:00:00,0.6,2.6,40,20.3,58.9,,
2004-10-18,19:00:00,-200.0,32.3,-200,18.5,60.3,,
2004-11-19,13:00:00,3.6,15.2,188,17.3,55.4,,
2004-06-29,20:00:00,2.6,14.3,120,31.9,38.4,,
2004-10-24,15:00:00,2.0,10.1,90,25.3,48.0,,
2004-06-13,5:00:00,0.4,2.2,33,23.3,51.0,,
2004-03-18,23:00:00,1.7,8.3,99,13.1,64.2,36.38512395,52.59535645
2004-03-06,22:00:00,-200.0,7.8,-200,22.1,43.9,,
2005-01-02,0:00:00,1.3,4.8,146,4.2,49.4,,
2005-12-02,19:00:00,5.0,24.6,251,11.0,55.1,,
2004-07-25,6:00:00,0.4,1.7,28,23.4,64.4,,
2005-03-16,20:00:00,4.4,23.1,223,18.4,38.8,,
2004-09-25,18:00:00,1.8,8.9,62,20.1,30.3,,
2004-09-26,10:00:00,0.9,3.0,47,21.6,33.4,,
2004-12-31,18:00:00,-200.0,6.1,-200,9.8,34.0,,
2004-06-29,11:00:00,2.1,12.8,122,35.4,27.8,,
2004-06-08,14:00:00,1.7,10.2,104,33.7,33.4,,
2004-07-09,18:00:00,3.3,16.0,-200,31.1,21.0,,
2004-07-21,2:00:00,-200.0,5.8,63,25.8,43.1,,
2004-11-17,21:00:00,4.9,19.0,267,10.7,62.1,,
2004-11-07,6:00:00,0.2,2.3,35,21.3,48.8,,
2004-05-17,2:00:00,0.5,1.8,37,18.4,27.6,115.4623213,67.10121241
2004-09-11,13:00:00,-200.0,11.8,-200,12.5,42.3,,
2004-12-13,3:00:00,1.3,2.4,-200,6.9,62.3,,
2004-09-25,19:00:00,2.4,9.8,68,19.5,33.0,,
2005-09-02,10:00:00,3.3,-200.0,203,-200.0,-200.0,,
2004-08-27,17:00:00,1.9,-200.0,109,-200.0,-200.0,,
2004-08-07,9:00:00,3.0,18.0,155,29.5,32.7,,
2004-06-09,10:00:00,1.3,5.7,-200,27.6,34.2,,
2004-03-16,4:00:00,-200.0,2.6,59,12.3,66.2,37.68150778,55.43460984
2004-07-17,12:00:00,1.5,8.3,94,36.9,17.2,,
2005-09-02,15:00:00,2.0,-200.0,144,-200.0,-200.0,,
2004-05-24,19:00:00,2.1,12.0,114,21.2,18.9,,
2004-07-28,22:00:00,-200.0,9.5,94,27.6,27.4,,
2004-09-07,9:00:00,1.8,9.7,115,27.4,32.0,,
2005-01-17,2:00:00,1.0,2.9,100,4.4,53.1,,
2005-01-23,0:00:00,0.8,10.1,195,8.0,36.0,,
2005-04-04,9:00:00,3.9,13.6,187,18.2,36.3,,
2004-11-06,17:00:00,2.6,15.2,142,35.4,14.7,,
2004-10-25,9:00:00,3.5,18.8,111,18.7,66.3,,
2004-02-10,18:00:00,-200.0,12.7,-200,24.4,52.5,,
2004-12-27,1:00:00,1.5,3.9,114,11.5,74.2,,
2004-02-06,23:00:00,-200.0,6.9,43,21.7,61.0,,
2004-10-22,23:00:00,1.7,9.8,73,20.3,68.1,,
2004-10-13,16:00:00,-200.0,8.3,-200,15.3,58.7,,
2004-11-20,9:00:00,2.8,15.3,214,7.2,43.2,,
2005-11-03,23:00:00,0.5,6.0,151,10.6,55.9,,
2004-10-31,19:00:00,4.7,22.4,100,21.2,70.3,,
2004-04-07,0:00:00,2.2,12.3,101,24.0,51.9,,
2004-09-30,12:00:00,1.7,10.8,-200,24.6,42.8,,
2005-03-01,14:00:00,1.6,-200.0,102,-200.0,-200.0,,
2005-02-16,4:00:00,1.1,4.5,142,3.3,52.2,,
2004-04-11,11:00:00,-200.0,19.7,130,23.6,48.0,,
2004-08-24,10:00:00,2.0,11.2,122,29.9,26.2,,
2004-04-22,14:00:00,-200.0,12.2,-200,28.0,21.0,170.2291129,208.4431974
2004-06-28,9:00:00,4.6,24.2,182,28.5,36.8,,
2004-03-11,3:00:00,0.9,4.1,-200,17.2,71.7,,
2004-03-21,8:00:00,1.2,4.4,91,14.5,65.3,48.17941843,59.84302735
2005-02-28,3:00:00,0.4,0.6,-200,3.9,48.1,,
2004-06-18,23:00:00,2.2,13.8,107,24.7,47.7,,
2004-12-25,14:00:00,4.0,13.2,176,12.2,61.1,,
2004-08-31,13:00:00,-200.0,12.2,-200,31.4,31.8,,
2004-11-11,13:00:00,2.8,13.6,199,12.5,71.3,,
2004-10-16,0:00:00,-200.0,7.2,-200,14.1,83.8,,
2004-03-20,20:00:00,3.9,16.4,139,17.1,51.3,36.21439805,51.39889238
2004-12-17,11:00:00,5.1,-200.0,198,-200.0,-200.0,,
2004-07-06,6:00:00,1.5,9.6,76,17.3,57.6,,
2004-07-16,16:00:00,2.4,13.0,173,38.1,16.5,,
2004-09-30,21:00:00,1.6,10.5,84,22.1,61.3,,
2004-08-19,20:00:00,1.7,7.4,68,31.6,43.6,,
2004-11-05,16:00:00,1.9,12.4,97,25.7,28.4,116.32818190000002,68.75884834
2004-04-13,13:00:00,1.5,7.7,87,16.3,38.1,137.9090633,146.4706845
2004-04-27,0:00:00,0.8,2.2,51,15.4,43.0,178.94011740000002,220.5148148
2004-03-22,16:00:00,2.3,11.6,101,21.3,24.2,38.76694425,51.78784185
2004-08-16,18:00:00,1.3,7.0,77,35.2,22.3,,
2005-05-03,0:00:00,2.2,6.0,172,6.3,59.8,,
2004-03-25,10:00:00,2.3,8.8,99,9.7,69.7,75.07159451,111.08919070000002
2004-11-12,18:00:00,2.4,10.7,133,14.9,24.9,,
2004-09-22,14:00:00,2.2,12.1,117,28.5,37.3,,
2005-02-18,10:00:00,2.0,7.4,153,10.8,37.1,,
2004-11-19,17:00:00,7.5,24.4,193,17.7,56.6,,
2005-02-26,7:00:00,1.0,1.9,108,5.7,54.3,,
2004-01-12,12:00:00,3.5,17.1,182,13.8,63.6,,
2005-03-15,17:00:00,2.9,14.2,172,22.8,24.6,,
2004-12-12,12:00:00,2.7,11.3,128,14.4,35.3,,
2004-03-15,8:00:00,5.5,25.9,114,12.4,63.9,23.85485859,52.73550607
2004-09-22,13:00:00,2.6,14.0,120,27.9,37.0,,
2004-07-07,18:00:00,4.3,21.8,233,36.9,17.9,,
2004-09-20,9:00:00,5.7,27.5,159,23.5,49.7,,
2004-01-04,6:00:00,1.7,7.4,67,9.6,68.8,89.82190899,117.86985779999999
2004-11-10,21:00:00,1.9,10.3,62,20.0,63.3,,
2004-08-15,21:00:00,1.1,5.5,85,29.4,30.5,,
2004-05-25,23:00:00,-200.0,-200.0,-200,-200.0,-200.0,,
2004-05-27,20:00:00,-200.0,16.2,-200,23.7,28.4,,
2004-08-08,6:00:00,0.7,2.6,36,23.4,61.7,,
2004-04-21,13:00:00,-200.0,10.5,-200,25.8,26.1,178.52040730000002,220.7999461
2005-03-16,12:00:00,2.8,11.9,194,23.1,27.3,,
2004-08-17,11:00:00,-200.0,7.8,-200,35.3,23.1,,
2004-04-18,8:00:00,-200.0,2.9,-200,14.5,72.9,172.2157425,210.50439849999998
2004-04-23,23:00:00,2.0,11.8,107,18.8,47.7,177.3562195,202.7540072
2004-11-09,5:00:00,-200.0,3.1,-200,20.5,48.4,,
2005-03-18,14:00:00,2.3,10.4,160,25.0,23.4,,
2004-01-10,19:00:00,-200.0,33.7,-200,24.2,54.3,,
2004-03-25,19:00:00,5.2,24.6,141,13.4,47.8,81.38834586,109.23860619999999
2004-07-11,15:00:00,0.9,3.8,28,17.2,33.9,,
2005-01-19,7:00:00,0.1,2.5,89,5.6,69.5,,
2005-03-21,4:00:00,0.7,2.0,68,12.2,72.4,,
2004-08-18,23:00:00,1.4,6.4,53,28.0,52.9,,
2004-12-16,15:00:00,4.8,-200.0,217,-200.0,-200.0,,
2004-05-28,22:00:00,1.0,7.0,96,19.8,46.8,,
2005-01-02,3:00:00,0.9,3.3,-200,3.7,57.5,,
2004-08-16,5:00:00,0.4,2.4,43,21.5,45.6,,
2004-04-19,18:00:00,-200.0,8.3,-200,11.3,70.5,172.4503247,213.8123835
2004-05-08,4:00:00,-200.0,2.1,-200,24.5,57.1,,
2004-09-10,7:00:00,2.9,17.6,63,20.9,66.3,,
2004-09-22,18:00:00,5.1,26.2,213,28.8,39.0,,
2004-08-20,7:00:00,-200.0,8.9,-200,26.7,58.0,,
2004-11-17,11:00:00,-200.0,16.0,-200,14.1,39.2,,
2005-03-01,2:00:00,3.0,-200.0,143,-200.0,-200.0,,
2004-09-15,9:00:00,-200.0,17.8,-200,22.5,68.9,,
2005-04-04,12:00:00,2.4,12.4,175,26.9,18.3,,
